day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailySupplySideRevenueUSD,token0Balance,token1Balance,token0PriceUSD,token1PriceUSD,outputTokenSupply,outputTokenPriceUSD,dailyLPFeeROI,dailyCRVRewardROI,dailyOPRewardROI,dailyLDORewardROI
19401,74179271,1676331955,11779666.132286314,144145.9089599986158472416630095,28.8291817919997231694483326019,3652.952338702956,3767.332650375209,1668.788371,1508.67,7662.022479010189,1537.4094978912224,2.208684634001153e-06,0.0,1.84764588718365e-18,
19402,74382954,1676419095,11919265.608313976,23987.559292844179377979545247,4.7975118585688358755959090494,3582.2072635764116,3685.792327768054,1725.235232,1557.091371,7505.214792548305,1588.1311778242837,3.632339265084734e-07,0.0,1.97697826171778e-18,
19403,74588254,1676505188,12968901.370863117,75216.986088627988907042769532,15.0433972177255977814085539064,3625.4209888112173,3724.0489165458957,1854.030555,1677.545119,7589.6480617963925,1708.7618905735544,1.0476027816375898e-06,0.0,2.0373735262950188e-18,
19404,74852562,1676591788,13067988.841980554,26006.669805168342683247605018,5.2013339610336685366495210036,3725.500171830592,3856.2033698512273,1813.955213,1636.35,7827.922786963692,1669.406967547439,3.585476497431495e-07,0.0,1.8792946422395184e-18,
19405,75059476,1676678091,14470974.433407284,220994.972301203975064582524573,44.1989944602407950129165049146,3971.7416933078844,4135.941652612735,1878.156436,1695.242051,8369.62582469638,1728.9870224195163,2.7538601908408604e-06,0.0,1.9123757071070347e-18,
19406,75222725,1676764477,14473764.095459439,87403.726367000525443988738761,17.4807452734001050887977477522,4012.0935610760985,4116.959477220728,1872.345865,1690.99,8394.858724827445,1724.1224146695743,1.0889960143365844e-06,0.0,2.025514310062478e-18,
19407,75448722,1676851168,14517850.794459812,38794.599491505709523791746789,7.7589198983011419047583493578,4049.8349608333215,4153.194570058057,1862.539068,1679.4,8471.377560915882,1713.7532461592016,4.813127079105716e-07,0.0,1.877468570022058e-18,
19408,75641312,1676937096,13899036.855241587,36543.7026215832550545277248275,7.3087405243166510109055449655,3857.353124293134,3903.225746366738,1883.33419,1699.71,8017.20927463115,1733.6502489990253,4.73800030006172e-07,0.0,1.9444883649108415e-18,
19409,75832793,1677023389,13477714.156892113,188459.551972271959774846099383,37.6919103944543919549692198766,3746.8972836196804,3990.647319950942,1835.387247,1654.044103,7982.771414066792,1688.3502555443893,2.518860029220119e-06,0.0,1.89940653103609e-18,
19410,76098394,1677110062,12742966.34077664,1074.041492505994422856095897,0.2148082985011988845712191794,3598.1003372048913,3773.9055853941977,1820.699488,1640.7159,7608.672866147721,1674.7948774972656,1.5175697452471966e-08,0.0,2.0544808572112482e-18,
19411,76408430,1677196666,12815099.01944526,7525.054212267347933891526431,1.5050108424534695867783052862,3599.2399700075216,3773.964939128037,1830.115267,1650.273678,7609.967122091357,1683.9887497337095,1.0571864358173197e-07,0.0,2.1232936891633406e-18,
19412,76838104,1677283015,12740666.026364557,102886.7987251936780716112280005,20.5773597450387356143222456001,3646.927976446499,3880.052723488809,1783.340422,1607.44,7765.6989183859505,1640.6335296105738,1.454246233178427e-06,0.0,2.0736846432129444e-18,
19413,77124041,1677369319,12802974.258502143,36403.9921537501231732599634855,7.2807984307500246346519926971,3714.317407966947,3910.0248619696436,1769.12679,1593.82,7868.323101835645,1627.154108035455,5.120698125922831e-07,0.0,2.0665046798095892e-18,
19414,77394185,1677455938,13344316.971469976,173913.418778278556249145249587,34.7826837556557112498290499174,3708.7017297446646,4017.229412051328,1821.688936,1639.99,7967.169687562517,1674.9131115283863,2.3455978081148243e-06,0.0,2.1151686579309687e-18,
19415,77651381,1677541763,13340621.47299419,27727.531997530276478901387961,5.5455063995060552957802775922,3699.135247317355,4048.868706158343,1816.791962,1635.04,7987.731843486427,1670.138874763649,3.7414627263254803e-07,0.0,2.2233098282953645e-18,
19416,77846600,1677628568,13392861.706413068,18442.901285195985319056780095,3.688580257039197063811356019,3785.3246539058223,4125.591484373698,1785.621777,1607.94,8156.594012193121,1641.9674298355858,2.4800982950645966e-07,0.0,2.056224414368734e-18,
19417,78054104,1677714407,13861605.151141882,1488.292280998591378382895694,0.2976584561997182756765791388,3789.9273428088964,4127.489235408869,1845.624791,1663.68,8163.4563310827725,1698.0068967066215,1.9296391681846493e-08,0.0,1.985318124926155e-18,
19418,78266265,1677801316,14059584.63943833,144841.6434136124986333192585935,28.9683286827224997266638517187,3817.994648651716,4290.981681791298,1831.641123,1646.8,8353.96255240627,1682.9839194561166,1.8537781135902029e-06,0.0,1.9645802183102718e-18,
19419,78471994,1677887667,13939033.919220049,50787.950350301113174167094061,10.1575900700602226348334188122,4018.713820138571,4409.357891007718,1745.377673,1570.49183,8688.20747371597,1604.3624604257163,6.55649535953745e-07,0.0,1.8525362622655587e-18,
