day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailySupplySideRevenueUSD,token0Balance,token1Balance,token0PriceUSD,token1PriceUSD,outputTokenSupply,outputTokenPriceUSD,dailyLPFeeROI,dailyLDORewardROI,dailyCRVRewardROI
19124,14763966,1652398142,178479102.21039712,9254407.574827763132151333863007224,1850.881514965552626430266772601445,90133.82975004207,7366.99053715646,1791.316480622259,2310.426141,97333.0075155668,1833.6955444621635,1.0370298214430012e-05,0.0,0.0
19125,14770383,1652485408,319431074.4272917,25514852.85332809777465792739756653,5102.970570665619554931585479513303,162139.77046190607,12546.357107101845,1791.316480622259,2310.426141,174350.7416163003,1832.1176696241114,1.4287910546283836e-05,1.1393365351367847e-17,0.0
19126,14776225,1652566674,380036379.15544057,1784157.252665595817221248615626569,356.8314505331191634442497231253138,192133.14212864978,15523.160230141873,1791.316480622259,2310.426141,207251.65624860468,1833.6952574196819,8.404939144894727e-07,8.977429621239858e-18,0.0
19127,14782931,1652658492,501226620.9267176,20472977.3425548151470966984812343,4094.595468510963029419339696246859,248233.73870656476,24480.952985879747,1791.316480622259,2310.426141,272229.34833492385,1841.192450382162,7.342526383888505e-06,7.099562695972668e-18,0.0
19128,14788953,1652741281,503815295.84551084,5438799.506433701292190390288488637,1087.759901286740258438078057697728,250488.25102816874,23853.419331835157,1791.316480622259,2310.426141,273814.67151763366,1839.9864881347862,1.9393035309934016e-06,6.8923260389226555e-18,0.0
19129,14795168,1652826871,528885965.2386548,2787133.714369158594844544658022503,557.4267428738317189689089316045006,262936.1258621521,25053.451657086825,1791.316480622259,2310.426141,287409.0549612529,1840.1854642678418,9.467968657128474e-07,6.6019398837505704e-18,0.0
19130,14801239,1652910395,547141238.576136,3108185.527446915637872480848589779,621.6371054893831275744961697179557,272049.7723421463,25888.729688726136,1791.316480622259,2310.426141,297308.5443758124,1840.3145450287595,1.0207020729933485e-06,6.1077546056867876e-18,0.0
19131,14807775,1653003016,564148589.7650704,3258029.988224187159641178895655744,651.6059976448374319282357791311488,284699.2823634661,27286.503998137785,1791.316480622259,1984.94,311298.51339981967,1812.2431218953493,1.0218272593055025e-06,2.850390555619456e-18,0.0
19132,14814044,1653090949,645564423.860708,664382.0350547590715526323202958718,132.8764070109518143105264640591743,324898.10781659425,32025.697908176113,1791.316480622259,1984.94,356116.1175245631,1812.79192963284,1.821485440294312e-07,2.676989957995456e-18,0.0
19133,14819879,1653172801,707134209.6621696,30376744.83783332342306612470571179,6075.348967566664684613224941142355,340229.2511317247,25298.741840879677,1930.8090731393306,1984.94,364513.3266578049,1939.9406220503092,8.136306040346265e-06,2.273226793285119e-18,0.0
19134,14825837,1653256400,709562089.9075928,2107906.687662895452542287533894468,421.5813375325790905084575067788935,340205.2380524207,26545.250509563524,1930.8090731393306,1984.94,365724.46541089594,1940.1548351718582,5.627257924690206e-07,2.2547817268914747e-18,0.0
19135,14831899,1653341229,707472863.7008202,3674357.838131234475265564104273352,734.8715676262468950531128208546702,337448.1044992713,28174.656070187593,1930.8090731393306,1984.94,364601.49877420976,1940.4003167275614,9.747801089413907e-07,2.157614333503904e-18,0.0
