day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailyTotalRevenueUSD,dailySupplySideRevenueUSD,dailyLPFeeROIAverage,token0PriceUSD,token1PriceUSD,token0Balance,token1Balance,token0BalanceUSD,token1BalanceUSD
19565,17787715,1690500935,4078569.442021675015399649341763677,447221.3968257475807713212270239,223.610698412873790385660613512,223.610698412873790385660613512,5.482576712045239e-05,2000.9446538661946,1855.7862676295429,1086.9847765321715,1025.7501619608292,2174996.3774359887,1903573.0645856864
19566,17794972,1690588691,4091600.495117646451904689319862355,435911.7743115930989366550879793,217.95588715579654946832754399,217.95588715579654946832754399,5.326910274252707e-05,2019.0230299189939,1872.341865836635,1034.9109115391252,1069.2980632097772,2089508.9643119522,2002091.5308056942
19567,17801743,1690670519,4108677.480299614568743318546063608,179312.9075773478786600985222451,89.6564537886739393300492611227,89.6564537886739393300492611227,2.1821243993611292e-05,2027.550730653239,1879.979368484341,985.3790896936316,1122.763059215163,1997906.0932787461,2110771.3870208682
19568,17809234,1690761119,4094250.017483750243108703676455594,768223.600571883762694324440698,384.1118002859418813471622203486,384.1118002859418813471622203486,9.381737769937406e-05,2004.964981027349,1859.3822903265655,1044.6103861655733,1075.5414767627399,2094407.2430794304,1999842.7744043197
19569,17816280,1690846151,4124697.721836324619105341084393641,3625108.4698796760559742488311682,1812.554234939838027987124415584,1812.554234939838027987124415584,0.0004394392891736282,2002.994692828075,1856.5063091517402,963.4474306938189,1182.2839602094566,1929780.0904985636,2194917.631337761
19570,17823378,1690931783,3930574.266288239713898470468749697,1022433.1130862766443007789961909,511.216556543138322150389498096,511.216556543138322150389498096,0.00013006154365985192,2001.695708568953,1855.0826037547429,1001.8991139315868,1037.7312070179148,2005497.156775894,1925077.1095123456
19571,17830218,1691014331,4052988.414249346502957447952093659,497910.4215761440517204871576768,248.9552107880720258602435788384,248.9552107880720258602435788384,6.142509806166841e-05,1985.361992841467,1839.674537122702,1004.0533138509696,1119.5345071005554,1993409.2881062399,2059579.1261431065
19572,17837784,1691105795,3932324.298156027429597031007899789,352332.1570046301556012370189501,176.1660785023150778006185094754,176.1660785023150778006185094754,4.479947866581709e-05,1982.26926156625,1836.3450214302934,919.4292159647549,1148.8952242318164,1822556.2729928908,2109768.0251631364
19573,17844891,1691191655,4032622.534432306251086296872745682,357116.5567022029270013722084797,178.5582783511014635006861042392,178.5582783511014635006861042392,4.42784507665898e-05,1969.7192498448392,1824.7168848716647,962.4147355591512,1171.1053485524196,1895686.8309651902,2136935.7034671158
19574,17852177,1691279627,4828929.585705480291048060390925806,266648.3409287797690871250136972,133.3241704643898845435625068487,133.3241704643898845435625068487,2.7609466673329415e-05,1977.6467108581712,1831.5348719647377,1227.5355034300153,1311.0850749511221,2427631.550819999,2401298.0348854815
19575,17859193,1691364539,4738667.781279631983678453769982407,1322901.9267726677303411645904724,661.4509633863338651705822952368,661.4509633863338651705822952368,0.0001395858485795169,1974.5871766280634,1829.234613369662,1356.633113336825,1126.0870624469535,2678790.3489839006,2059877.432295731
19576,17866444,1691452283,4531056.115789314042688731473344108,5715503.8391551709969637980288101,2857.751919577585498481899014405,2857.751919577585498481899014405,0.000630703272382616,1970.5224228618504,1822.3532196506555,882.5414614990739,1532.0786040235078,1739067.7389891932,2791988.376800121
19577,17873629,1691539187,4893157.149371942995638456858399177,12318088.4963040545808286623835714,6159.0442481520272904143311917866,6159.0442481520272904143311917866,0.0012587055882606521,2021.776926092229,1859.9568830164235,515.9806449622026,2069.9186213571925,1043197.7622947675,3849959.3870771755
19578,17880753,1691625323,4971288.027960953989638146123861271,1973000.3467651751038079246924943,986.5001733825875519039623462474,986.5001733825875519039623462474,0.0001984395528551209,2010.8064130592081,1851.6804747505253,778.8783005053377,1838.9320364632192,1566173.48164879,3405114.546312164
19579,17887901,1691711747,4968145.6849168472648686945146783,851385.6013392378876522533062272,425.6928006696189438261266531132,425.6928006696189438261266531132,8.568444398923535e-05,2009.809410495493,1850.3543730679123,700.7546740725586,1923.8273480635949,1408383.3383997302,3559762.346517117
19580,17895063,1691798315,4957475.689923482335511670148506796,548906.1464260607008374457843407,274.4530732130303504187228921703,274.4530732130303504187228921703,5.5361456188455156e-05,2003.6460630554939,1844.4788199328138,674.8030192796218,1954.703539039411,1352066.4129175746,3605409.2770059076
19581,17902204,1691884655,4966510.954598319266561859808427071,2192096.4602345369906255132636104,1096.0482301172684953127566318049,1096.0482301172684953127566318049,0.00022068777057714442,2004.2540532542491,1847.3875987720048,1003.1130951031537,1600.1068047822407,2010493.4867329109,2956017.4678654084
19582,17909363,1691971079,4732087.845376079678747368833020724,1021242.4819195331806326368337622,510.6212409597665903163184168814,510.6212409597665903163184168814,0.00010790612043660935,1996.9653599424116,1839.2193116649266,740.2938592381668,1769.0911745342485,1478341.1930767025,3253746.652299377
19583,17916495,1692057239,5553899.787395328968958251962404302,993863.9848138984610728453889231,496.9319924069492305364226944606,496.9319924069492305364226944606,8.947442543611336e-05,2004.9106608839872,1844.7329441977988,589.6115497921596,2369.8721916292407,1182118.4819586305,4371781.305436699
19584,17923543,1692142415,5459394.10558683532929281987012339,730747.7851186403456868785101806,365.3738925593201728434392550903,365.3738925593201728434392550903,6.692572206601043e-05,1982.3451359114658,1824.4738385007229,667.404780737782,2267.1563699736744,1323026.6207796007,4136367.4848072347
19585,17930773,1692229751,5409191.477753385574971751238903097,5007911.0713668068996233605668158,2503.9555356834034498116802834074,2503.9555356834034498116802834074,0.00046290754283362476,1963.3812245477543,1807.0470512024726,682.9582304519403,2251.343764528161,1340907.366819698,4068284.110933688
19586,17937894,1692315923,4992801.151408468895148955493831688,2827338.8342733717719108430679457,1413.6694171366858859554215339727,1413.6694171366858859554215339727,0.0002831415420455689,1829.774066198351,1691.2636302459273,640.4732016636223,2259.1864618727427,1171921.2544991225,3820879.8969093463
19587,17945102,1692403127,5229276.720733324414286815107193509,7166938.6887711363433585175049548,3583.469344385568171679258752477,3583.469344385568171679258752477,0.0006852705518867709,1811.9498235966182,1663.161473844953,724.5296685007922,2354.8316728673262,1312811.4050305267,3916465.315702798
19588,17952212,1692489131,5207223.057142597369962469975058512,5333294.8671901877533657868131767,2666.6474335950938766828934065885,2666.6474335950938766828934065885,0.0005121054743251935,1816.2326534953872,1669.2863074417692,1071.379750151351,1953.7380472629034,1945874.886518613,3261348.170623984
19589,17959391,1692575975,5256761.215421796830468447143653145,3122381.6285496968291922244178467,1561.1908142748484145961122089225,1561.1908142748484145961122089225,0.0002969872037738317,1835.17300650378,1684.721101796232,792.5368209318904,2256.9427253764907,1454442.180434525,3802319.0349872718
