day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailyTotalRevenueUSD,dailySupplySideRevenueUSD,dailyLPFeeROIAverage,token0PriceUSD,token1PriceUSD,token0Balance,token1Balance,token0BalanceUSD,token1BalanceUSD
19228,15405825,1661384259,0.000000000000008176233897172242046182147512941331,0,0,0,0.0,1601.8614883510331,1657.5036401567254,2e-18,3.0000000000000002e-18,3.203722976702066e-15,4.972510920470176e-15
19233,15436943,1661814932,37574.64377269250371086989839737925,25859.39205764381801832691892384141,12.9296960288219090091634594619207,12.9296960288219090091634594619207,0.00034410694901167914,1435.644170459789,1535.1288373577231,21.658838530487255,4.221312465618517,31094.385275223885,6480.258497468617
19234,15443193,1661901813,189464.0557372850786701839778751565,567560.955652876696491597453581363,283.7804778264383482457987267906812,283.7804778264383482457987267906812,0.0014978064135813414,1416.955925866504,1528.6865850446802,106.8561256423411,24.893026252416515,151410.4204440509,38053.635293234176
19235,15449575,1661989683,192254.213391271586808577584381599,675007.6680608205710791665272518636,337.5038340304102855395832636259314,337.5038340304102855395832636259314,0.0017555081268545716,1435.5857420369728,1548.0730480372358,104.22477010088487,27.53786038805482,149623.5939239117,42630.61946735989
19236,15455854,1662076410,198000.9632847611932085507268316818,419531.066227513581341285980229443,209.7655331137567906706429901147202,209.7655331137567906706429901147202,0.0010594167302715393,1478.987306070453,1586.487967631427,98.5705697501034,32.9131660230511,145784.6214125351,52216.341872226076
19237,15462157,1662163085,196983.4139825428045697176792555348,494494.002682186951384848132364624,247.2470013410934756924240661823135,247.2470013410934756924240661823135,0.0012551665967318708,1469.566992583068,1576.4704436641955,90.22187307478578,40.8484203187102,132587.08667972422,64396.327302818594
19238,15468319,1662248991,271878.218176317553434304076639074,434520.468111582562138022099257956,217.260234055791281069011049628976,217.260234055791281069011049628976,0.0007991086432488474,1442.6310719913804,1554.912245235724,149.73857178655123,35.925308333370545,216017.5163348907,55860.70184142685
19239,15474505,1662334052,274123.4004546258557188227696841651,897477.988844988553826392585058509,448.738994422494276913196292529254,448.738994422494276913196292529254,0.0016369963077879285,1450.575620842696,1572.1622203096042,160.6211286869443,26.161617712075117,232993.0934655188,41130.30698910708
19240,15480751,1662421507,482242.4308540710719754204698361542,2106238.758437312020223582178693293,1053.119379218656010111791089346647,1053.119379218656010111791089346647,0.002183796596565629,1496.39660528684,1623.5647737103604,288.9277282690714,30.72988519267708,432350.47175507696,49891.95909899411
19241,15487060,1662508643,931760.0543837371975594563063863362,4130327.333936640088198810256971892,2065.163666968320044099405128485944,2065.163666968320044099405128485944,0.0022164114647887667,1432.816280800998,1563.7290554317276,597.2183888781689,48.637469094258854,855704.2307783819,76055.82360535524
