day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailyTotalRevenueUSD,dailySupplySideRevenueUSD,dailyLPFeeROIAverage,token0PriceUSD,token1PriceUSD,token0Balance,token1Balance,token0BalanceUSD,token1BalanceUSD
18798,12673737,1624225823,22.63705529317844757580948633906888,0,0,0,0.0,2263.705529317845,0.0,0.01,0.01,22.63705529317845,0.0
18799,12677748,1624280149,19.66714498890481264492495683029908,0,0,0,0.0,1947.2420781093876,0.0,0.010100000000000001,0.009900302977320872,19.667144988904813,0.0
18801,12693522,1624492465,2685458.150696248517934857188389691,1406069.951579066630925087119945461,4218.209854737199892775261359836378,4218.209854737199892775261359836378,0.0015707598547546012,1966.0079823997596,1872.0680778656993,458.7055427188513,952.7641720024724,901818.7585562754,1783639.3921399731
18802,12699799,1624577014,3273089.835423941247297336973627319,2666763.531733913188801133806130965,8000.290595201739566403401418392882,8000.290595201739566403401418392882,0.0024442624545823123,1986.192459776949,1888.2387835505529,508.51966185661047,1198.5093925147787,1010017.9180279233,2263071.917396018
18803,12706217,1624664329,3493088.884204957278017955372845878,1754193.373017514918115920960157886,5262.58011905254475434776288047362,5262.58011905254475434776288047362,0.001506569198066751,1817.4744387241083,1711.0629131130086,342.81384293141735,1677.3395445844553,623055.3967686323,2870033.487436325
18804,12712576,1624749864,8237827.404849327873342909722926813,616039.194587784636740643000448306,1848.11758376335391022192900134491,1848.11758376335391022192900134491,0.000224345266407916,1791.4802738655721,1699.882495135688,1120.4872158267526,3665.2513796724606,2007330.744272183,6230496.6605771445
18805,12719039,1624836524,10331484.33399495829367497974926633,1232776.710483891099475106629038415,3698.33013145167329842531988711525,3698.33013145167329842531988711525,0.00035796696891680907,1949.075106503245,1862.5659829083147,2280.198716124729,3160.803876232603,4444278.555479368,5887205.77851559
18806,12725575,1624923996,9480350.470536697861552338448344877,1390789.146952189708662332256821254,4172.36744085656912598699677046375,4172.36744085656912598699677046375,0.00044010687725349094,2077.3552810406595,2027.564002743616,1997.0393709954067,2629.653209239518,4148560.283783425,5331790.186753273
18807,12731919,1625009675,12163877.7784696325411358148273657,1491772.237612463271539649427725253,4475.31671283738981461894828317577,4475.31671283738981461894828317577,0.0003679185860251582,2173.225793300745,2138.0259590314827,1014.9883388417395,4657.604318850394,2205798.8378703445,9958078.940599289
18808,12738199,1625093735,16124572.17987354055164862114298889,116831.58994459944002627681116552,350.49476983379832007883043349647,350.49476983379832007883043349647,2.1736686463612404e-05,2253.2185058938494,2216.641455128839,1991.450058299186,5250.014623710998,4487172.124923111,11637400.05495043
18809,12744824,1625183597,15879761.26896270207235078101116025,333092.29489591201039247503229575,999.2768846877360311774250968872,999.2768846877360311774250968872,6.292770198257588e-05,2115.4180420612383,2080.6198018744044,2238.816904641574,5355.96536473073,4736033.672950481,11143727.596012222
18810,12751165,1625268398,16151633.40697125651174660233770216,106325.42416532137369742308282131,318.97627249596412109226924846398,318.97627249596412109226924846398,1.9748855391819986e-05,2151.3406187253054,2115.887424021261,2228.860443917597,5367.296611139131,4795038.006470041,11356595.400501216
18811,12757577,1625354969,16550156.89799697718535007917697182,193716.72585908007073193500774514,581.15017757724021219580502323546,581.15017757724021219580502323546,3.5114481461355535e-05,2198.9280550082913,2162.544800225267,2197.1453303774174,5418.982482526557,4831364.507897364,11718792.390099613
18812,12763942,1625440400,17589907.00054384891336669743136338,408125.75803020253546274444636125,1224.37727409060760638823333908379,1224.37727409060760638823333908379,6.960680770243709e-05,2318.3589945970816,2280.025895545485,2176.704026426711,5501.483850165141,5046381.358242049,12543525.6423018
18813,12770513,1625528423,16948613.46497662419249049873567246,136056.10149321404384688341944651,408.16830447964213154065025833953,408.16830447964213154065025833953,2.4082695928082818e-05,2229.425375457078,2192.5150154549206,2192.4159661955096,5500.8907995463105,4887827.788593517,12060785.676383108
18814,12776759,1625612747,18513148.33719438372926775005369602,741595.05288083824101181452891485,2224.78515864251472303544358674453,2224.78515864251472303544358674453,0.0001201732475817063,2309.2201504081304,2272.4179222742628,2599.8405222662273,5504.948756437336,6003604.121864769,12509544.215329615
18815,12783007,1625696986,18676710.72124589009685155900830461,98822.60366456675350882239710406,296.46781099370026052646719131221,296.46781099370026052646719131221,1.5873662949464126e-05,2327.0725147827156,2290.0860739810396,2629.1272000316726,5483.872950833255,6118169.645061345,12558541.076184545
18816,12789258,1625781041,20609532.93888625652843479800664511,70811.63419451625386787098287857,212.43490258354876160361294863568,212.43490258354876160361294863568,1.0307603923557367e-05,2137.1862125254693,2103.2652732552756,4266.0923595384875,5463.9323497856985,9117433.7721659,11492099.166720357
18817,12796163,1625873874,20014901.37132743190825508691968216,677246.95904719661801226657665185,2031.74087714158985403679972995555,2031.74087714158985403679972995555,0.00010151141089569308,2157.853569943629,2122.522245954697,3855.5057090320797,5510.088120604858,8319616.758172913,11695284.61315452
18818,12802666,1625961132,28015863.03846365224470579852800795,68515.49956592529354374822683238,205.54649869777588063124468049707,205.54649869777588063124468049707,7.336789818524461e-06,2119.334217945602,2084.711672673547,4883.615371611507,8474.001515742759,10350013.164341394,17665849.87412226
18819,12808279,1626036612,28258137.95213542606293559643218966,68554.47180669861043199061147715,205.66341542009583129597183443141,205.66341542009583129597183443141,7.278024325893496e-06,2138.1453023023173,2103.259635729913,4903.44514506006,8450.625613779694,10484278.202007273,17773859.750128154
18820,12815099,1626128369,26913605.33011264395065357719872516,93224.37587578361536412994199408,279.67312762735084609238982598224,279.67312762735084609238982598224,1.039151478209554e-05,2034.6555944864901,2001.4658830953379,4909.1415139680785,8456.398496494085,9988412.245521028,16925193.084591616
18821,12821278,1626213019,27173240.45239337251451700128002268,32381.27985893370293528228081989,97.14383957680110880584684245967,97.14383957680110880584684245967,3.5749817820584904e-06,1944.4550929162242,1912.7363229667976,4523.219444126506,9608.247173022874,8795197.084509475,18378043.3678839
18822,12828130,1626306052,28105184.98800083352656985119802964,214814.71936786615717953195497495,644.44415810359847153859586492483,644.44415810359847153859586492483,2.2929724831156105e-05,1996.5478267279332,1964.095271219814,4616.460594866273,9616.7435953424,9216984.367855398,18888200.620145436
18823,12833944,1626384091,27082778.15131799685808991521172867,245137.64946546746659598627532088,735.41294839640239978795882596262,735.41294839640239978795882596262,2.7154265499922992e-05,1923.3718769933896,1892.2128443088304,4699.730721389753,9535.633534369032,9039329.898962906,18043448.25235509
18824,12840433,1626472935,27116446.07757486286391430997412737,177311.08479024590774395432071122,531.93325437073772323186296213364,531.93325437073772323186296213364,1.9616628700124655e-05,1899.2126790024531,1868.5461872856113,4795.5795284136575,9637.77120233121,9107825.443527821,18008620.634047043
18825,12847134,1626563492,27107691.6226876032764693131495877,88444.68069902661287857933685519,265.33404209707983863573801056559,265.33404209707983863573801056559,9.788145954671043e-06,1897.327429274846,1866.7341586988045,4828.395181645439,9613.92650450175,9161046.617514392,17946645.00517321
18826,12853099,1626645005,27169388.8076714245237627312464835,123368.56349429075466300825306773,370.1056904828722639890247592032,370.1056904828722639890247592032,1.3622157388331493e-05,1902.347360935001,1871.7291264289108,4865.562682315313,9570.507947206122,9255990.328166358,17913398.479505066
18827,12860087,1626738455,26416791.09704894777266361868359527,487866.1855447128238051264697153,1463.59855663413847141537940914591,1463.59855663413847141537940914591,5.5404100795483776e-05,1822.5689009808784,1793.4342479996099,5053.755255863435,9593.869389822947,9210817.162505357,17205973.93454359
18828,12866445,1626825224,29307545.65905166411667164595276909,1821910.14609552146576753743651917,5465.73043828656439730261230955749,5465.73043828656439730261230955749,0.00018649567254358154,1786.6950181964226,1759.3204899306131,6970.050228776963,9579.943924476065,12453354.020334633,16854191.63871703
18829,12872560,1626907577,32288970.53522384786900541719393275,72900.2883539255527913977062561,218.70086506177665837419311876824,218.70086506177665837419311876824,6.773237468912091e-06,1967.7452084569682,1937.6100266409824,6984.140020238496,9571.56611506499,13743008.060016852,18545962.475206997
18830,12879191,1626996687,32907282.82518056944137611122661996,297555.07962156901417871748373685,892.6652388647070425361524512106,892.6652388647070425361524512106,2.7126677204161076e-05,2012.7474405895334,1981.9156129128933,6970.723271080128,9524.612087046411,14030305.42292443,18876977.40225614
18831,12884891,1627073823,34323974.98459824208125260233182937,208541.14523414024887044393397708,625.62343570242074661133180193117,625.62343570242074661133180193117,1.8227010012189693e-05,2035.4292594707579,2004.2972602822585,7223.630833211915,9789.359001718363,14703189.557534661,19620785.42706358
