day,date,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailyTotalRevenueUSD,dailySupplySideRevenueUSD,dailyLPFeeROIAverage,token0PriceUSD,token1PriceUSD,token0Balance,token1Balance,token0BalanceUSD,token1BalanceUSD,token0BalancePosition,token1BalancePosition,positionValueETH,dailyLPFeeROIPosition
19431,2023-03-15,16836707,1678924763,13335986.069177756,10371188.135147255,5185.5940675736278527161033939795,5185.5940675736278527161033939795,0.00038884219289630307,1681.5015453784624,1656.094556114945,5274.827394544878,2696.920678323815,8869630.41553186,4466355.6536458945,0.53988260166113,0.5120656493580947,1.0602464810137522,0.000635629272871
19432,2023-03-16,16843779,1679010599,14250802.059097027,5261686.324315858,2630.8431621579290957070489263344,2630.8431621579290957070489263344,0.00018461018202680916,1707.2029949665407,1677.311645155439,5321.507491544908,3079.8740035671462,9084893.527302349,5165908.531794678,0.2852051600831716,0.7719639452337379,1.0622585224143295,0.0009345393864483
19433,2023-03-17,16850936,1679097491,17097229.563913353,5452489.405987998,2726.2447029939986624413775207033,2726.2447029939986624413775207033,0.00015945534876294856,1823.598006478176,1790.3076987627585,6160.207241903845,3275.1285838390813,11233741.645828275,5863487.918085078,0.2081468161603738,0.8510410428140568,1.0630583258327624,0.0005786799188443
19434,2023-03-18,16857997,1679183171,16607131.655905576,5114876.177392452,2557.438088696225803234118729415,2557.438088696225803234118729415,0.00015399637587546844,1795.2798610231916,1764.9481044132654,6436.407680717885,2862.3949660305934,11555153.086527808,5051978.569377768,0.3534770802253417,0.7036829948738806,1.063234831587518,0.0005383166260441
19435,2023-03-19,16865175,1679270339,16653359.913157018,9279882.712073151,4639.9413560365751067010042118459,4639.9413560365751067010042118459,0.00027861893216940445,1811.2257196848573,1786.950450796101,7115.2681747482075,2107.5028638427843,12887356.720559081,3766003.192597937,0.7266952451369085,0.3259496267596427,1.0625174144132696,0.0011541484243056
19436,2023-03-20,16872309,1679356763,16124777.94255186,9659463.581475493,4829.7317907377465579244701393884,4829.7317907377465579244701393884,0.0002995223753123764,1755.436461149732,1735.8174523570776,7644.603327988911,1558.4372227046035,13419615.412978316,2705162.5295735444,1.0061317575265958,0.0445562301400441,1.0616677784444688,0.0013807642188845
19437,2023-03-21,16879425,1679443175,17079516.859379977,5562871.151096677,2781.4355755483388289283952514487,2781.4355755483388289283952514487,0.00016285212271802582,1827.034361366773,1804.7238539819955,7909.587439028227,1456.4160706586513,14451088.035339585,2628428.8240403947,0.8556180400682536,0.1976796727986505,1.063875684431934,0.0008076999739932
19438,2023-03-22,16886548,1679529551,16371886.919157473,7896389.112202563,3948.1945561012816148783334722398,3948.1945561012816148783334722398,0.00024115696471622484,1749.9629636232148,1735.92308251254,8444.614528386488,918.3150270110439,14777762.666750876,1594124.2524065978,1.0515728572423897,0.0,1.0600838089263669,0.0004836915734736
19439,2023-03-23,16893608,1679615411,17443717.660246134,16595452.700236237,8297.7263501181183566564504793494,8297.7263501181183566564504793494,0.0004756856601175369,1826.992218264923,1817.4197964153125,8618.73985158154,933.9322832868544,15746370.640089251,1697347.0201568827,1.051791298643073,0.0,1.0571824507777392,0.0002077282607468
19440,2023-03-24,16900775,1679702375,18696141.729276504,3693953.549004689,1846.976774502344408954208646967,1846.976774502344408954208646967,9.878919411539024e-05,1767.7857725411852,1750.2374640774065,8081.511202407592,2519.5216623663414,14286380.524248347,4409761.205028157,1.0518629229155243,0.0,1.0624089220410022,6.809741870283936e-05
19441,2023-03-25,16907874,1679788499,18632147.531255655,18741214.4185973,9370.6072092986492881829871455803,9370.6072092986492881829871455803,0.0005029268469230045,1763.2418450525718,1738.7081582207354,7514.173377825963,3095.8862043882577,13249304.930762766,5382842.60049289,0.6931475085440308,0.3659687003488924,1.068783035871969,0.0026963666334278
19442,2023-03-26,16914900,1679873723,19442491.448579885,3290894.734489777,1645.4473672448885233035151861774,1645.4473672448885233035151861774,8.463150782895548e-05,1802.7369367803594,1778.3937441449157,7783.750820854893,3042.3163345818925,14032055.111449558,5410436.337130328,0.7300310702180758,0.3291035951885368,1.069060449916905,0.0004925709262135
19443,2023-03-27,16922110,1679961275,17459994.00368814,13108767.633806994,6554.3838169034968362166001561693,6554.3838169034968362166001561693,0.0003753943910587248,1734.1284968724276,1711.8225265963242,8149.907355385845,1943.54692741341,14132986.591844797,3327007.411843346,0.7905326948466693,0.2691979451956935,1.0700292118364572,0.0013110906880109
19444,2023-03-28,16929196,1680047375,18205906.992345903,7289765.575244551,3644.8827876222753262862142791986,3644.8827876222753262862142791986,0.00020020330704505142,1797.7793328657065,1773.163015611121,7888.434812917842,2269.5273257980166,14181665.07532205,4024241.917023854,0.6927120687158869,0.3690888925950467,1.071476101096496,0.0007006966567426
19445,2023-03-29,16936347,1680134231,18402079.520789474,4707660.488400212,2353.8302442001055708774012472786,2353.8302442001055708774012472786,0.00012791110056561275,1816.788645764309,1792.51249796931,8015.816833777582,2141.7058542158516,14563045.010133523,3839034.510655951,0.7344882846810636,0.327178217877813,1.0716340435866527,0.000411403366419
19446,2023-03-30,16943463,1680220619,18396875.905740105,7150971.716315208,3575.4858581576038705516855100519,3575.4858581576038705516855100519,0.00019435288233052647,1812.2406135394444,1787.695466878277,8048.173996546806,2132.157403196823,14585227.781374186,3811648.1243659193,0.7413478287379979,0.3208899592597221,1.072253111202606,0.000619781306804
19447,2023-03-31,16950544,1680306479,18177053.12574486,6264870.95083752,3132.4354754187597681695583056365,3132.4354754187597681695583056365,0.00017232911483227009,1849.1649827215485,1824.4700410026387,7783.3368164269295,2074.234792039148,14392673.889664095,3784379.2360807634,0.7732690027901994,0.2891503015596224,1.0731356204777738,0.000575929036584
19448,2023-04-01,16957665,1680392975,18156502.047852803,5478782.286493161,2739.3911432465803066790329586552,2739.3911432465803066790329586552,0.00015087659153876183,1846.4108586046186,1821.2477933654175,7806.374396135194,2055.0348009370323,14413774.451357095,3742727.59649571,0.7781136791550972,0.2847568998763184,1.0736208603176436,0.0004829949744049
19449,2023-04-02,16964448,1680475535,17966307.191297736,15743199.586819574,7871.5997934097867228566920857845,7871.5997934097867228566920857845,0.0004381312035687846,1810.4161434812186,1785.276058702605,7764.739335821772,2189.5200625963903,14057409.44349537,3908897.747802364,0.7494415581043291,0.3153590744024861,1.0753673402334698,0.0014248061616188
19450,2023-04-03,16971796,1680565211,18700030.484091114,32198427.700488325,16099.2138502441631531108458478219,16099.2138502441631531108458478219,0.0008609191233105437,1845.9235230241713,1812.7462745560347,7137.069994703124,3048.162433406131,13174485.388692494,5525545.095398621,0.3107183767971231,0.7641328046748448,1.0805371995009905,0.0027340423208643
19451,2023-04-04,16978729,1680650543,19765654.007583175,4850272.179874745,2425.1360899373723720097163849472,2425.1360899373723720097163849472,0.00012269445215457877,1900.771654717001,1866.7127827148774,7349.125867803208,3105.2682152231987,13969010.136467816,5796643.871115359,0.3201153314244546,0.7548215639160024,1.0807663553446751,0.0002380843229092
19452,2023-04-05,16985890,1680738407,20215021.70517261,4827724.210943951,2413.8621054719755318990381666362,2413.8621054719755318990381666362,0.00011940932543516972,1945.6434633547287,1910.8034242732774,7337.5346087476955,3108.0096367224273,14276226.24864905,5938795.456523558,0.3178021210719078,0.7573332489453585,1.0809298693659488,0.0001446412225099
19453,2023-04-06,16992949,1680825575,19398582.367134355,3539462.301862603,1769.7311509313014363394755694428,1769.7311509313014363394755694428,9.122992172508604e-05,1905.320188687502,1868.719690680719,6800.956949188857,3446.5210708536783,12958000.577684091,6440581.7894502655,0.1784695944671337,0.8995331694912222,1.081494683553942,0.0002165421715016
19454,2023-04-07,16999997,1680911855,19797879.118392274,10938471.830897104,5469.2359154485517960093195801297,5469.2359154485517960093195801297,0.0002762536271053206,1903.1280146975348,1866.460054329701,6951.881111100661,3518.7248748104507,13230319.697382292,6567559.421009984,0.1676679949702791,0.9112769973288054,1.0822430851114242,0.000675282782844
19455,2023-04-08,17007043,1680998063,19856465.151661683,1584872.1007172212,792.4360503586106206400956769382,792.4360503586106206400956769382,3.990821348644201e-05,1891.389345202528,1853.8386331166803,6824.437794456898,3748.3285201291374,12907668.931433214,6948796.220228469,0.1065668487223606,0.9737455970950376,1.0824709836423778,0.0001364745824621
19456,2023-04-09,17014114,1681084775,18133426.357638337,1873617.5269338994,936.808763466949652961942556003,936.808763466949652961942556003,5.1661982958468194e-05,1904.0474654457034,1863.1603566572967,6081.781935130693,3517.3702871269784,11580001.47897906,6553424.878659278,0.0,1.0826758759370745,1.0826758759370745,0.0001390351588783
19457,2023-04-10,17021165,1681171007,17422033.807267666,3452306.661592713,1726.1533307963564721300968523803,1726.1533307963564721300968523803,9.907874992621614e-05,1954.8763740274333,1912.51379407397,6179.079191182913,2793.547371911405,12079335.924088016,5342697.88317965,0.0,1.0826758759370745,1.0826758759370745,0.0
19458,2023-04-11,17028175,1681256795,14526015.41157181,3681990.078511863,1840.9950392559315561737265812597,1840.9950392559315561737265812597,0.00012673778645376802,1936.0912188280097,1891.803846521422,5097.6525075943455,2461.4048457211893,9869520.256589996,4656495.154981814,0.0,1.0826758759370745,1.0826758759370745,0.0
19459,2023-04-12,17035254,1681343951,15340736.066736242,7119222.47353243,3559.6112367662151635417964257583,3559.6112367662151635417964257583,0.0002320365347060903,1975.1544763202733,1923.587848533029,4973.001504514474,2868.748567191978,9822446.182389216,5518289.884347026,0.0,1.0826758759370745,1.0826758759370745,0.0
19460,2023-04-13,17041718,1681429823,16328349.208135832,19598272.789140515,9799.1363945702583742043908656218,9799.1363945702583742043908656218,0.0006001302562593222,2066.5906454464525,2012.6405413703114,5002.745788577146,2976.051329979446,10338627.648220165,5989721.559915667,0.0,1.0826758759370745,1.0826758759370745,0.0
19461,2023-04-14,17048647,1681515263,17836819.611375015,7231956.010838445,3615.978005419222409175005726847,3615.978005419222409175005726847,0.00020272549054166678,2159.3716548813177,2105.417327701806,5913.35379023099,2406.9769849367162,12769128.559909804,5067691.0514652105,0.0,1.0826758759370745,1.0826758759370745,0.0
19462,2023-04-15,17055785,1681603127,17391629.857967954,2542217.0716219586,1271.108535810979271445011567734,1271.108535810979271445011567734,7.308737284496786e-05,2148.1185142671957,2094.1558637535463,5861.903770870531,2291.88568147243,12592064.019059675,4799565.838908281,0.0,1.0826758759370745,1.0826758759370745,0.0
19463,2023-04-16,17062808,1681689299,17376621.033982825,3674085.017059171,1837.0425085295856526751333943457,1837.0425085295856526751333943457,0.00010571920196319805,2175.3809486658224,2119.8053854992263,5422.290129914754,2632.8239495028783,11795546.646755282,5581074.387227544,0.0,1.0826758759370745,1.0826758759370745,0.0
19464,2023-04-17,17069760,1681774307,17809750.89706023,5113096.038118752,2556.5480190593760173643708736192,2556.5480190593760173643708736192,0.00014354765733873198,2132.6962438892538,2077.9700608511275,5521.4001843260385,2903.930897092444,11775469.434121575,6034281.462938655,0.0,1.0826758759370745,1.0826758759370745,0.0
19465,2023-04-18,17076650,1681858571,18044691.674693655,2869768.936060655,1434.884468030327372239162083111,1434.884468030327372239162083111,7.951836993937927e-05,2144.2661425962438,2090.765831937195,6201.707803109108,2270.2588370759486,13298112.068481792,4746579.606211863,0.0,1.0826758759370745,1.0826758759370745,0.0
19466,2023-04-19,17083831,1681946147,17281908.202145927,2106731.841247276,1053.3659206236379914299527102654,1053.3659206236379914299527102654,6.095194513837538e-05,2009.9386050170233,1960.8667866426576,6599.146246401393,2049.1088067385476,13263878.800795343,4018029.4013505857,0.0,1.0826758759370745,1.0826758759370745,0.0
19467,2023-04-20,17091074,1682035199,17334657.86276373,3471428.044315145,1735.7140221575724823808320200613,1735.7140221575724823808320200613,0.00010012969600548212,1993.3569563448743,1944.3346869377744,6506.081998155642,2245.351112912455,12968943.809573708,4365714.053190021,0.0,1.0826758759370745,1.0826758759370745,0.0
19468,2023-04-21,17098099,1682120711,16501104.915938545,2497956.6797894128,1248.9783398947062886664363315363,1248.9783398947062886664363315363,7.569058837316455e-05,1896.1578113112985,1848.0447117282426,5962.6098393871,2811.109309322289,11306049.222755456,5195055.693183089,0.0,1.0826758759370745,1.0826758759370745,0.0
19469,2023-04-22,17105296,1682207843,16490563.230085358,1209643.8314828668,604.8219157414334475989047705043,604.8219157414334475989047705043,3.667685010527702e-05,1922.0207952319847,1873.2408960268526,5922.256441931559,2726.7519115294294,11382700.036089037,5107863.193996321,0.0,1.0826758759370745,1.0826758759370745,0.0
19470,2023-04-23,17112353,1682293355,16386803.282148417,1375472.7685531387,687.7363842765693938855898564024,687.7363842765693938855898564024,4.19689168433346e-05,1910.6784963982986,1861.2349091530639,5577.0849173351135,3079.02405538733,10656016.224139482,5730787.058008935,0.0,1.0826758759370745,1.0826758759370745,0.0
19471,2023-04-24,17119422,1682378999,16342662.261145543,4529489.834789294,2264.7449173946468106248059817526,2264.7449173946468106248059817526,0.00013857870163413015,1886.4643026467957,1838.172232641266,6264.752558346715,2461.374464572417,11818232.066236263,4524430.194909279,0.0,1.0826758759370745,1.0826758759370745,0.0
19472,2023-04-25,17126606,1682466107,16301778.931664418,5636885.806314936,2818.4429031574681799195132789213,2818.4429031574681799195132789213,0.00017289173868521501,1922.4235638405173,1870.0362176425208,5215.885094843485,3355.356682322954,10027140.412611645,6274638.519052774,0.0,1.0826758759370745,1.0826758759370745,0.0
