blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,date
11799366,1612569503,376733217.4943799239205222752209005,8186055.219036521825186717599297,2021-02-05 23:57:52
11805796,1612655037,385475379.6107337876082801436414641,6046365.776965901520563991734669,2021-02-06 23:42:56
11812434,1612742275,401078277.2762239132889228114445076,12667941.428845658238239759706693,2021-02-07 23:57:52
11818831,1612827936,405875959.3489670465125883563632099,3951046.61452811327226661359077,2021-02-08 23:45:04
11825367,1612914820,427440542.9206822774981788542602405,5659587.273258315828489685284345,2021-02-09 23:53:36
11831899,1613001392,402998175.4652515842958430337999273,27769646.37930923340195669343698,2021-02-10 23:55:44
11838271,1613085981,394423145.958034102977551552810649,1680329.800997182428192860363996,2021-02-11 23:25:52
11844781,1613171829,397915689.4528952011851539604519766,6455382.355063529318690340358074,2021-02-12 23:17:20
11851363,1613260628,408242264.8015330881660723436336101,13430818.164862237108480471983106,2021-02-13 23:57:52
11857890,1613346555,412145848.745307934581710350464563,5102551.061496832866591264320075,2021-02-14 23:49:20
11864349,1613432454,412243866.59388136747337341793702,1320705.933783744192562104559085,2021-02-15 23:40:48
11870888,1613519403,412353503.7076051705809688964634422,9565539.21653650243223980376341,2021-02-16 23:49:20
11877365,1613605021,411274206.5624987848214704958554606,5005169.950822694882860627589792,2021-02-17 23:36:32
11883908,1613692668,460391075.9796505969689427753225706,13502610.955136937275316169255517,2021-02-18 23:57:52
11890464,1613778641,457326581.0196560956499656654697864,11308006.860186447678263577567206,2021-02-19 23:51:28
11896993,1613865595,449434911.0413102888789983657631739,5823435.549031636130633086828303,2021-02-21 00:00:00
11903283,1613949533,447590411.5396893404284516463606382,5079237.46720230580557139722198,2021-02-21 23:19:28
11909508,1614032412,461358154.066557712874608560656831,2296793.645654057996228483500049,2021-02-22 22:19:44
11916445,1614124331,439722539.6529624137814273713062983,2758744.303564864282293474006742,2021-02-23 23:51:28
11922864,1614210195,431483282.9697311901800508602523372,1462383.523862839205502020087485,2021-02-24 23:42:56
11929329,1614295767,428559396.7970085659051226777818705,2453639.678732062274678403315473,2021-02-25 23:30:08
11935946,1614383329,417062853.0573477457709500636489197,1616710.281040727714136985233822,2021-02-26 23:49:20
11942491,1614470343,400523209.440455320700554114581338,16169410.80339974971908626508005,2021-02-28 00:00:00
11948914,1614556264,308120689.2730937063847440511957735,1052648.227078450247389954211946,2021-02-28 23:51:28
11955402,1614642819,307992957.8173472241780044369037535,1331890.939724560195089039870883,2021-03-01 23:53:36
11961975,1614729516,303648320.7765100386433030083942858,1634473.972222179239673380664811,2021-03-02 23:57:52
11968374,1614815702,303521007.941675869936165791263609,6133643.997694996195591910367844,2021-03-03 23:55:44
11974897,1614902276,292512168.5308025071843235567927594,3920115.131400551228508377738918,2021-03-04 23:57:52
11981356,1614987728,307818542.7287100568134585988806998,1315907.559319425687315431637896,2021-03-05 23:42:56
11987971,1615074764,304148759.2953004180535036971531059,1441449.656217971205412133468421,2021-03-06 23:53:36
11994408,1615160569,296512452.6463050703715618109575478,8723389.195741246767202769296272,2021-03-07 23:42:56
12000830,1615245937,278341873.6761603368183668294917843,8104015.154447344792058997222858,2021-03-08 23:25:52
12007364,1615333799,278985793.110470037097084875118613,1462050.953863883795058767812733,2021-03-09 23:49:20
12013892,1615420146,272559021.8773270628772409198934852,4475345.934163047177694432420582,2021-03-10 23:49:20
12020309,1615506454,328208791.7756949433820737401805792,2470927.382419959773664533347781,2021-03-11 23:47:12
12026806,1615593356,331941136.7981533027347948783698808,2784365.447746217811058193132886,2021-03-12 23:55:44
12033144,1615677578,337211244.5638720697817692466664472,589067.565442423290632525936632,2021-03-13 23:19:28
12039765,1615765075,337454566.2941955866218435277262835,774382.931062027988843653032454,2021-03-14 23:38:40
