day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailySupplySideRevenueUSD,token0Balance,token0PriceUSD,token1Balance,token1PriceUSD,dailyLPFeeROI,dailyCRVRewardROI,dailyOPRewardROI,outputTokenPriceUSD
19194,15298769,1658447359,53076.34074227861009387042598993032,3066.794459152228565221431832,0.6133588918304457130442863664,11699359646526544878,1594.079585,21618656111539687876,1573.593495,1.1556163881167247e-05,1.843897553872929e-18,,1595.075216139985489548045567
19195,15419155,1658530312,54703.17640299368470477262356270362,5360.2877636678167023012865905,1.0720575527335633404602573181,15735023748827094889,1549.160597,19571071377813136971,1535.675111,1.9597720337769894e-05,1.6651015562758857e-18,,1550.805929850785265394980011
19196,15543068,1658618661,60900.41414921750919054361816111146,3138.701661778552120621915835,0.627740332355710424124383167,13995193229649771331,1554.151813,25230930725492404332,1550.822104,1.0307652930202218e-05,1.4883787979182707e-18,,1554.58250396781259507556904
19197,15664047,1658705293,62402.04442423798078899156500592205,1599.64814184796541293666798,0.319929628369593082587333596,12823300036906086920,1613.24636,25907197017424873203,1598.858824,5.126909403713818e-06,1.4710815624903727e-18,,1613.62367633114597427125698
19198,15766660,1658786258,59513.88919312522595145673137907963,3987.915777684996626953580312,0.7975831555369993253907160624,15716344637744979026,1525.958714,23285328280785499381,1513.171626,1.3401630549615172e-05,1.4218793141483305e-18,,1527.585181681269269363947513
19199,15831092,1658837700,55560.73622394941058955110867782797,1690.353939494103080384133128,0.3380707878988206160768266256,14521676238737795611,1419.209396,24645855869678658601,1415.894962,6.0847067709138e-06,1.2793970196165425e-18,,1420.314829462909571826025916
19200,16109874,1658963580,64742.58025722442282769940079414682,8653.3917109022763071231193,1.73067834218045526142462386,13442210058536854033,1633.42478,26213704632422110743,1625.3448,2.6731686245812456e-05,1.1113667725272256e-18,,1635.055685172114111961306724
19201,16352014,1659051261,88951.21142810403234471308596473908,12624.8088754934294916110474125,2.5249617750986858983222094825,19492713327633445218,1739.393363,31058511627490118998,1721.181555,2.838591779201927e-05,8.619513902169466e-19,,1761.851301476905992883377645
19202,16455063,1659081958,88951.21142810403234471308596473908,1285.0460133331702868517103,0.25700920266663405737034206,18746932748387883878,1727.54063,31808511627490118998,1709.311333,2.8893277397842423e-06,8.619513902169466e-19,,1761.851301476905992883377645
19203,16831457,1659222263,88048.61300555489014670755692994168,10623.558396617965330938083689,2.1247116793235930661876167378,17512116357058841937,1709.160582,33127776952864484247,1700.545712,2.4131120375394755e-05,8.799828875699248e-19,,1741.3970445440405320905351
19204,17006615,1659310040,57238.49203639337825473250749369556,8777.3907304953004200153473845,1.7554781460990600840030694769,12338980764650775194,1694.621584,21451426130859101435,1679.322699,3.066953869055271e-05,1.1810260221135364e-18,,1696.412548293919672585395968
19205,17142926,1659386530,45508.34077760664475097480119457559,2461.029479355558378207395148,0.4922058958711116756414790296,10889155516825092885,1639.306905,16878267115366383270,1626.33939,1.0815729324794722e-05,1.5046266493391788e-18,,1641.1125498934952323861383
19206,17253427,1659444335,44086.54745932982203935808585489295,0,0,10889153214073620030,1588.090659,16878273575359692268,1572.296146,0.0,1.5983082908951493e-18,,1589.840119342898616920572005
