day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailySupplySideRevenueUSD,token0Balance,token0PriceUSD,token1Balance,token1PriceUSD,dailyLPFeeROI,dailyCRVRewardROI,dailyOPRewardROI,dailyLDORewardROI
19272,28092105,1665167120,0,55.5761134245100835129381505,0.0111152226849020167025876301,62412317573607019,1443.108612,150179291742560518,1325.586199,0.0,,,
19274,28445163,1665358870,0,311.874328968487153823558464,0.0623748657936974307647116928,91988994307953252,1430.277049,117681219123214721,1318.537,0.0,,,
19275,28574910,1665441267,0,422.670593601628875459431973,0.0845341187203257750918863946,95214327076737520,1405.438371,114225774450664741,1295.8,0.0,,,
19276,28651375,1665479457,0,1.5496546266977489843404945,0.0003099309253395497968680989,94105245020979020,1391.837201,115437064349672496,1284.545,0.0,,,
19277,28938978,1665616726,58280.27843330457838844878015951019,18553.2673890809618455754811895,3.7106534778161923691150962379,21342446936042714667,1403.188319,18264280918449742198,1294.194502,6.366911033314006e-05,0.0,,
19278,29174874,1665683342,1790.052712270233705132548882767917,91675.3013905735720641582179125,18.3350602781147144128316435825,656557124000422305,1385.043951,590337453597188893,1277.12,0.01024274880423006,0.0,,
19279,29352103,1665763489,1790.052712270233705132548882767917,1151.2459523579124061616877045,0.2302491904715824812323375409,480672737378719256,1424.408398,782652723794721227,1311.432247,0.000128627044831305,0.0,,
19280,29573572,1665869320,1790.052712270233705132548882767917,664.0313833478641110760323065,0.1328062766695728222152064613,499542685431380837,1389.185422,762025634832644022,1275.881508,7.419126585447939e-05,0.0,,
19281,29774996,1665960580,1790.052712270233705132548882767917,3321.786493487776153633489556,0.6643572986975552307266979112,666294623259951084,1419.242503,580529968249337623,1311.8,0.00037113839952510915,0.0,,
19282,29933936,1666036436,1888.319890314414018900290120304044,1373.6491426396589851021164765,0.2747298285279317970204232953,671624292408732852,1432.331152,585948410453367929,1323.6085,0.00014548902965915803,0.0,,
19283,30075311,1666098469,1888.319890314414018900290120304044,4093.367737456556538471763341,0.8186735474913113076943526682,673792578148740570,1441.589762,584230254659158728,1330.64,0.00043354600652699703,0.0,,
19284,30309864,1666223142,1888.319890314414018900290120304044,2743.7578309963235207197259245,0.5487515661992647041439451849,674644122793763256,1394.259232,583740978833218303,1283.66,0.00029060307473004215,0.0,,
19285,30469747,1666300744,1888.319890314414018900290120304044,3440.474998954273319504582875,0.688094999790854663900916575,659300624641218291,1389.723846,600932732066300605,1280.17,0.0003643953565919827,0.0,,
