blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,date
16920151,1679937419,8441574.011661875921172797642565,995187.5388273126105711408440345,2023-03-27 17:16:48
16928305,1680036539,7878764.071954853165574305226952,204651.222725748783753418774044,2023-03-28 20:48:00
16936183,1680132251,7516564.95162035819185861182415,1349477.1130735042374726155791875,2023-03-29 23:23:44
16942604,1680210167,7516564.95162035819185861182415,3138489.924100977120064800168403,2023-03-30 21:02:56
16950574,1680306863,7516564.95162035819185861182415,203386.318451120188221322554628,2023-03-31 23:53:36
16957684,1680393203,7516564.95162035819185861182415,390637.449993373399225923321942,2023-04-01 23:53:36
16964710,1680478739,11688839.629987458767413214664352,878163.63326587686589860405375,2023-04-02 23:38:40
16967771,1680515999,11688839.629987458767413214664352,114237.895497212463979888392377,2023-04-03 09:59:28
16975538,1680611435,11812599.30353091655126130708025,22331.722784944234354912570023,2023-04-04 12:30:56
16983130,1680704411,12012357.982374349352800275771565,1348813.6891365516659259174498575,2023-04-05 14:19:44
16991252,1680804851,12012357.982374349352800275771565,359343.0402970573162201792016325,2023-04-06 18:14:24
16997171,1680877319,12012357.982374349352800275771565,1814.5588350106753087853197375,2023-04-07 14:21:52
17004290,1680964355,12012357.982374349352800275771565,18681.194054192972400192694707,2023-04-08 14:32:32
17013291,1681074623,13076665.593225880718656816404317,357890.6984992224205686413358,2023-04-09 21:09:20
17017005,1681120031,12658008.821962429535040877921962,56521.8311019636027306901474965,2023-04-10 09:46:40
17027502,1681248599,12658008.821962429535040877921962,96709.3683571847571810639807205,2023-04-11 21:30:40
17033671,1681323839,12668662.835620215953501376482229,80050.946566353570254137246835,2023-04-12 18:22:56
17040939,1681420223,11269848.068086126591579112933944,70727.5079188003540176460078085,2023-04-13 21:09:20
17045117,1681471631,11272631.572198657037784975670791,854276.29336853593266878425231,2023-04-14 11:26:56
17055061,1681594259,10149518.663783669746125741644753,535320.715816328421007890169947,2023-04-15 21:30:40
17062455,1681684991,10072120.09955708047351463823154,336251.5728099943152005599842345,2023-04-16 22:43:12
17069727,1681773899,9692741.837345312647978560223595,611866.5645124588421811436696495,2023-04-17 23:25:52
17070322,1681781195,9692741.837345312647978560223595,321062.357313490273729415167974,2023-04-18 01:27:28
