day,date,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailyTotalRevenueUSD,dailySupplySideRevenueUSD,dailyLPFeeROIAverage,token0PriceUSD,token1PriceUSD,token0Balance,token1Balance,token0BalanceUSD,token1BalanceUSD,token0BalancePosition,token1BalancePosition,positionValueETH,dailyLPFeeROIPosition
19591,2023-08-22,17973673,1692748583,46464183.99540213,31697301.61969365,3169.7301619693651834967406380916,3169.7301619693651834967406380916,6.821878465105567e-05,1852.4322101036896,1629.9880950507252,23027.398722699472,2335.89981309316,42656695.10882906,3807488.8865730646,0.436281768670583,0.5102803470566646,1.00610139226678,2.0865760546051604e-05
19592,2023-08-23,17980842,1692835115,47514724.41644598,28081312.511495277,2808.1312511495277740070826337012,2808.1312511495277740070826337012,5.91002323098304e-05,1906.3009856088947,1677.0232055433883,18646.68335616635,7136.772774930715,35546190.86019689,11968533.55624909,0.4169711219089786,0.5322393502791287,1.0062174497564509,1.0586200978712768e-05
19593,2023-08-24,17987994,1692921599,44149068.20060938,13413526.41407847,1341.3526414078470851270169736763,1341.3526414078470851270169736763,3.038235451114986e-05,1885.5019569288177,1658.5947205565762,19999.31914917234,3882.993673969838,37708755.39300842,6440312.8076009555,0.4098725887207154,0.5403144255255047,1.0062607397621242,5.6950122673260495e-06
19594,2023-08-25,17995093,1693007447,43755347.27303657,20377470.6186478,2037.7470618647797922588884970351,2037.7470618647797922588884970351,4.657138358768105e-05,1875.741625252338,1649.5964938712468,18292.967428986685,5724.106987486116,34312880.45593557,9442466.817101,0.3865611702822135,0.5668320829300916,1.0063931446533692,1.3494389826673723e-05
19595,2023-08-26,18002240,1693093871,44221621.115283884,11570013.78554286,1157.0013785542859916140730578583,1157.0013785542859916140730578583,2.6163703396083844e-05,1873.838430025929,1648.0816066331774,21061.73849794014,2885.3705396309774,39466295.00059682,4755326.114687059,0.3968016357389127,0.5551937696298667,1.006347331375199,5.476525216208117e-06
19596,2023-08-27,18009424,1693180775,45314469.39489955,8970202.757106816,897.0202757106816816203949851089,897.0202757106816816203949851089,1.979544917305481e-05,1882.7517733146042,1655.691144749886,18696.285039550545,6108.63059475885,35200463.81260909,10114005.582290458,0.3839862334861906,0.5697685015966796,1.0064142587154432,2.8699079426264262e-06
19597,2023-08-28,18016366,1693264715,45028005.873612314,9642344.199706266,964.2344199706264832778303450196,964.2344199706264832778303450196,2.141410442818866e-05,1873.7936464954355,1647.1037177512928,17696.388168010755,7205.755187463482,33159379.715135552,11868626.158476762,0.3463460522296117,0.6125918386926077,1.006602416758508,1.2066498044527307e-05
19598,2023-08-29,18023567,1693351967,48235655.20005867,10167814.98312614,1016.7814983126140186969274427166,1016.7814983126140186969274427166,2.1079458630664092e-05,1966.475087358021,1728.7730918294585,17892.58990116299,7548.89289565327,35185332.288950734,13050322.911107937,0.355977772375091,0.6016616179317861,1.0065855749382446,2.6261010403372254e-05
19599,2023-08-30,18030752,1693438907,44553554.26284478,31394084.98452123,3139.4084984521230056791906441676,3139.4084984521230056791906441676,7.04637048692256e-05,1935.8656749846907,1701.771154402286,19172.595899203618,4370.731012793965,37115570.30162053,7437983.961224258,0.351180811066474,0.6071293945434788,1.0066184092778567,1.1023178102531617e-05
19600,2023-08-31,18037948,1693525931,44291153.547874644,38986063.515706845,3898.6063515706846240875520363995,3898.6063515706846240875520363995,8.802223557705833e-05,1870.8695334913718,1644.595531166041,21624.78465706065,2331.2739771035754,40457150.783206426,3834002.764668223,0.678312831400846,0.2349670405685154,1.0065446335210195,1.364879018717069e-05
