day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailySupplySideRevenueUSD,token0Balance,token1Balance,token0PriceUSD,token1PriceUSD,outputTokenSupply,outputTokenPriceUSD,dailyLPFeeROI,dailyLDORewardROI,dailyCRVRewardROI
18647,11695432,1611186570,160500442.63751617,3638174.263341552308743397118866,727.6348526683104617486794237732,62558.44704880555,60969.828184035156,1288.641465,1310.238788,123442.10418180472,1300.2082531024598,5.62691859078898e-06,1.6903412041202885e-17,3.794950138040916e-18
18648,11701947,1611273561,160010095.61299402,717438.21417191808434001264207,143.487642834383616868002528414,62844.975589062364,62290.93371850941,1247.420297,1310.238788,125045.98517431709,1279.6100201852632,1.095381000352049e-06,1.3452055847057615e-17,4.013020042331215e-18
18649,11708142,1611356128,151268585.7249827,1891684.057745404469027884906022,378.3368115490808938055769812044,64078.56016480179,64039.013164482996,1195.259491,1166.134124,128017.20921910457,1181.6269597479104,2.4547002890053508e-06,1.1698759085014772e-17,4.156665281127203e-18
18650,11714732,1611443193,190562657.68053097,1584941.8385841526973218696903495,316.9883677168305394643739380699,78292.2681212253,77392.78648930328,1195.259491,1253.128173,155556.73554281573,1225.0363638421825,1.6925547832721035e-06,1.3613548005095704e-17,3.99505662584581e-18
18651,11721379,1611531776,171028945.97134948,3205553.9401012955109236453678645,641.1107880202591021847290735729,72202.31608746172,67613.54841523372,1195.259491,1253.128173,139680.8844825717,1224.4262814121078,3.8122760264067075e-06,1.9866841642744794e-17,4.25329935913362e-18
18652,11727977,1611619186,191466121.99266532,1729691.5457895827210562077969435,345.9383091579165442112415593887,74362.22254893005,72540.74502515473,1195.259491,1414.15655,146767.30690080803,1304.5556673058447,1.9577514879688854e-06,1.6808502041714253e-17,3.473646048155565e-18
18653,11734408,1611704507,206856173.84180287,6088680.9555148672607085666511105,1217.7361911029734521417133302221,82153.46358912146,81076.23796096515,1195.259491,1340.238145,163072.83053122813,1268.489503542347,6.202400893331029e-06,2.664074985451271e-17,3.3227193774161358e-18
18654,11740952,1611791878,214799602.61820155,1355795.8231106106479878932521755,271.1591646221221295975786504351,84625.32394135983,84798.64673478734,1195.259491,1340.238145,169256.39357986063,1269.0782195879187,1.3306610167902812e-06,2.1870669734411698e-17,2.709740415058437e-18
18655,11747452,1611878322,219962174.6204601,552708.002915842111800468462753,110.5416005831684223600936925506,88400.28127463924,87806.01854963825,1195.259491,1301.743335,176026.3643711039,1249.5978963510797,5.215984101986922e-07,1.8704567370203863e-17,1.8644407238257046e-18
18656,11753864,1611964251,215170982.04986057,3584729.4054765019666884221256575,716.9458810953003933376844251315,86313.29378676963,86041.6915072992,1195.259491,1301.743335,172171.6484219224,1249.7468893517494,3.458700574684786e-06,1.9490033958040978e-17,1.8952799229624598e-18
18657,11760199,1612049706,216272279.45647573,1667649.1960323281641143843545875,333.5298392064656328228768709175,85483.09722571915,79892.51225483768,1218.972799,1402.76862,165177.31345583755,1309.3340418949188,1.6771523901945727e-06,1.9720747735139136e-17,2.3400699207707696e-18
18658,11766857,1612136513,218684066.6779045,1639114.042914003273027709374158,327.8228085828006546055418748316,85411.28937030774,83930.07498761837,1218.972799,1365.065243,169145.40391392377,1292.8761977428035,1.6097824740488685e-06,2.759016525163308e-17,2.397560537683968e-18
