day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailySupplySideRevenueUSD,dailyLPFeeROIAverage,token0BalancePostion,token1BalancePostion,token0PriceUSD,token1PriceUSD,positionValueETH,dailyLPFeeROIPosition
19351,48856469,1672006824,3948.27665415477961720315761,3794.49568664564167674838388,1.89724784332282083837419194,0.00048052555823978115,0.5755283063672681,0.3819110455343562,0.0,1218.12853,1.0090600241979728,2.6338964591157367e-05
19352,49089733,1672098843,3979.46435632725119677112064,515.47141882191890268426696,0.25773570941095945134213348,6.476643244741368e-05,0.5755434651869509,0.3819211046758615,0.0,1227.33488,1.0090866017942206,3.55122093213333e-06
19353,49287551,1672182022,3927.40401168715003465781454,0.14359495935876209414733,0.000071797479679381047073665,1.8281154540181362e-08,0.5755455090689519,0.38192246096208293,0.0,1211.29071,1.0090901852836833,1.0023711504563542e-09
19354,49487495,1672266284,3843.29165817569548388734944,8.15535032851418572060222,0.00407767516425709286030111,1.0609850947905037e-06,0.575545509645862,0.3819224613449109,0.0,1185.34798,1.009090186295166,5.817474760457399e-08
19355,49690628,1672358204,3891.43908230537739753403412,159.94812305035958706716096,0.07997406152517979353358048,2.0551281886648816e-05,0.5755455431280769,0.38192248356315384,0.0,1200.93284,1.0090902449987333,1.1261550200861983e-06
19356,49887985,1672438325,3863.19922998784418213944896,3101.66123514639660805703946,1.55083061757319830402851973,0.00040143687271807567,0.5755461912815796,0.3819229136670759,0.0,1198.75292,1.0090913813907783,2.1877738860322697e-05
19357,50082410,1672529780,42111.18274440995154152204125,26164.00059048666471788869045,13.082000295243332358944345225,0.0003106538321339336,0.684679218663234,0.26336670480792407,0.0,1196.28785,1.0069243610302852,0.00010605403121312721
19358,50228206,1672614162,43359.3452936432323778509613,2377.48482364555994149371767,1.188742411822779970746858835,2.7416059992885954e-05,0.6818600450728717,0.26653557042785053,0.0,1200.41135,1.0072537915298367,9.490697546769672e-06
19359,50397915,1672695027,46037.47408517770990648083383,2042.61618122295741693248729,1.021308090611478708466243645,2.2184277285106317e-05,0.6780114390258071,0.27072678539701817,0.0,1218.15367,1.0075588478388564,7.910851537232697e-06
19360,50652628,1672788043,46614.38704878452464481911408,3587.54438961933850433420407,1.793772194809669252167102035,3.848108509787735e-05,0.6770531461658467,0.2717762375980692,0.0,1214.91788,1.0076404499122407,1.3877527096723915e-05
19361,50909394,1672876579,58767.7658324916144345999553,21468.00375212153800913974841,10.734001876060769004569874205,0.0001826511817150983,0.6606875235693996,0.2895925491006525,0.0,1255.71598,1.0088912749430576,5.40596055714384e-05
19362,51071081,1672936655,59233.38627263061200933688012,42405.39804023185229958420602,21.20269902011592614979210301,0.0003579518301136339,0.6597603850160197,0.29065652905398465,0.0,1247.42718,1.0090176965536066,0.00010710490259520147
19363,51310440,1673042474,61002.4872773505700138429039,8423.58819265657553519796371,4.211794096328287767598981855,6.904298962727823e-05,0.6588681385452826,0.2917361491888213,0.0,1265.69503,1.0091975586833026,2.0893337078666247e-05
19364,51514172,1673132653,65292.94210039434209196930886,20265.1603007601616578634572,10.1325801503800808289317286,0.00015518645391718203,0.6531053344505064,0.2980344133439018,0.0,1262.43709,1.0096473498242664,4.933020978910049e-05
19365,51710104,1673219349,85466.06598961429079230967344,52000.52954799268408857180907,26.000264773996342044285904535,0.00030421740456798205,0.6223569097667339,0.3316409034547208,0.0,1280.24368,1.0119241757862678,0.0001511141667886295
19366,51920447,1673297467,84799.52821435397057241932758,32148.67603656886208773203005,16.074338018284431043866015025,0.00018955692745898484,0.6234122517892328,0.33064030325032506,0.0,1318.82854,1.0120090075289956,9.420290765129642e-05
19367,52177247,1673393012,142668.7236483697702438379938202588,33989.84230219781656850027755,16.994921151098908284250138775,0.00011912156159037105,0.5927304674269275,0.364323597476497,1464.199766195595,1335.58626,1.0142344264248422,3.143129164899829e-05
19368,52417613,1673480764,148028.0130534110806100363529769284,10428.6813408476162788268711,5.21434067042380813941343555,3.5225364191995086e-05,0.5975492121122875,0.35907318557217277,1518.487893063405,1385.94757,1.013940121726008,9.296892866665422e-06
19369,52645981,1673560189,151279.1825989533972136178613302599,26866.78016432976813548039196,13.43339008216488406774019598,8.879866913200668e-05,0.5937145442454613,0.3632859481891383,1565.8482250004786,1428.24819,1.014210694796482,2.3702396521369065e-05
19370,52873528,1673650471,153759.7869546076642579461734885331,27719.83475536871198881400089,13.859917377684355994407000445,9.014006621754765e-05,0.5956486778201153,0.36118969164115716,1591.1990816804919,1451.59546,1.0141043550454283,2.4064035510772266e-05
19371,53097653,1673729153,162611.3566332969934215084247348531,35571.02713630946317131463244,17.78551356815473158565731622,0.0001093743631218983,0.6014244856368305,0.3548848922214907,1682.650824983243,1534.98119,1.013735243673778,2.9201695209008346e-05
19372,53339757,1673820627,163961.6710493559864728364984590183,11043.92767426975952773295482,5.52196383713487976386647741,3.3678382281628795e-05,0.5937602425088467,0.36331391034217214,1696.4950107381035,1547.69183,1.0142887586874685,8.992270628698047e-06
19373,53574152,1673913258,161994.9082823399751995185134755071,15192.31453585334817137917564,7.59615726792667408568958782,4.689133348986115e-05,0.5860867789241513,0.37173927593961265,1731.0579392316342,1576.97463,1.0148154769744169,1.2129287999562053e-05
19374,53770418,1673990917,162444.8036551106268156851277024223,15584.80297873071365443109318,7.79240148936535682721554659,4.7969533737191984e-05,0.5822555913747971,0.3759561486749837,1735.8024259581525,1581.27763,1.015084215636768,1.2408698662084162e-05
19375,53991604,1674085832,161630.407506318772564946536183267,57734.25364657482413022933672,28.86712682328741206511466836,0.00017859960429883148,0.57746596577213,0.381227518713286,1668.2178789135767,1519.14577,1.0154151266547808,4.499459893078746e-05
19376,54183448,1674167819,159375.905447768724135753469105897,42837.78579109128345777858513,21.418892895545641728889292565,0.00013439228994727265,0.5602324353720982,0.4002165684288661,1706.0638099996913,1550.2202,1.016586293238533,3.473622407293322e-05
19377,54387151,1674256365,169866.0664549757558540764231357297,46309.65550217149083982734639,23.154827751085745419913673195,0.0001363122619738952,0.5573767201505481,0.40339422338027614,1819.0720014835028,1651.90953,1.0168060668659011,3.522707205415444e-05
19378,54608231,1674345465,167030.5150827442715300977276009109,57391.03607718296008824575091,28.695518038591480044122875455,0.0001717980575248551,0.5497310580243369,0.411847725899592,1789.4753480608658,1623.96068,1.017329428300716,4.439049196257308e-05
19379,54815656,1674431605,167485.7870356568632791837503070863,33981.46579732944016232718503,16.990732898664720081163592515,0.00010144581937001903,0.5430505430572579,0.41925348606064855,1793.910542147208,1628.19007,1.0177959852980143,2.6214212685718247e-05
19380,55001661,1674507592,168037.1837195416014167635371078537,6323.00215172995006872461284,3.16150107586497503436230642,1.881429458578407e-05,0.5411494686622675,0.4213757147436172,1800.7252142263171,1633.44765,1.017942172518109,4.860411392559467e-06
