day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailySupplySideRevenueUSD,token0Balance,token0PriceUSD,token1Balance,token1PriceUSD,dailyLPFeeROI,dailyCRVRewardROI,outputTokenPriceUSD
19301,15904699,1667661983,6370622.976247750309274283278475,4055.5164634807147684381,0.81110329269614295368762,1897986416492006702317,0,1978896170100096695346,1621.4,1.2731930546200316e-07,1.5451448668294414e-18,1643.659425
19302,15910986,1667737811,6654049.7937185754331164808848,82112.384699148891376288304348,16.4224769398297782752576608696,1993438528953365798076,0,2055966241461955032469,1617.765604,2.468042387559618e-06,1.4079848382480792e-18,1643.659425
19303,15920521,1667852735,6425764.323186995551828807350103,170018.184159111161447210136728,34.0036368318222322894420273456,2113232840576269469329,0,1956239959685364914221,1576.757366,5.291765324962526e-06,1.423217782807875e-18,1579.467169
19304,15927126,1667932331,6094304.591218082409395958464256,126139.75423508771249332698653,25.227950847017542498665397306,2245382139828114007970,0,1932206770591300489148,1576.757366,4.139594677196004e-06,1.4271069457197809e-18,1459.265612
19305,15935341,1668031667,5785401.255494611549676783876516,121823.2421007519438293023367,24.36464842015038876586046734,2430653383728088833606,0,1536031960286583233256,1317.1097,4.211401654640699e-06,1.0476643765718324e-18,1459.265612
19306,15942438,1668117311,4808188.635817690618684495288047,45077.33103883692100578648445,9.01546620776738420115729689,2418989373773161577347,0,1644045448844716391409,1184.405,1.8750234008309025e-06,2.650359190125157e-18,1183.952149
19307,15949494,1668202559,5172968.988275213008440338800752,9817.431124855010290376606,1.9634862249710020580753212,2285147854814223551788,0,1775352848601736126323,1239.61975,3.795665950098173e-07,2.2762438252559704e-18,1274.465706
19308,15953509,1668250991,5172968.988275213008440338800752,30537.998489962276336299607375,6.107599697992455267259921475,2244348583831381585162,0,1816082049209270297008,1239.61975,1.1806758772062288e-06,2.2762438252559704e-18,1274.465706
19309,15963147,1668367127,5106864.979431153707670439919787,638.851736215,0.127770347243,2243483508065505504229,0,1881214304215085581616,1265.052943,2.501933138189844e-08,2.2114615553431755e-18,1238.560267
19310,15967892,1668424307,5441251.496767393951435603481698,4428.7201408270210904858463735,0.8857440281654042180971692747,2250477674161952978704,0,2144196742087188170276,1265.052943,1.6278314440926282e-07,2.0595933687180427e-18,1238.560267
19311,15978770,1668555611,6687994.837630666143191103815875,53321.35250697896299611616,10.664270501395792599223232,2632243904658466742157,0,2727975505746389468832,1251.15,1.5945392842399066e-06,1.69296385566533e-18,1248.137915
19312,15985962,1668642503,7081502.511710032364877090731762,0,0,2991638691192078745560,0,2839167466381720148561,1251.15,0.0,1.507192212980708e-18,1214.927854
19313,15993079,1668728399,23461415.11759169341870240508431,6172.004360475994370548725,1.234400872095198874109745,9599179941396785379188,0,9718958079155154692026,1208.9,5.2614084270203633e-08,3.3228023917555023e-18,1214.927854
19314,15999899,1668810695,24783788.81497685370614590457754,38368.79941409448031951811,7.673759882818896063903622,9940038690452677827489,0,10365654602903581590627,1211.99,3.096281985013381e-07,3.087529623546721e-18,1220.995628
19315,16007250,1668899375,26860787.59426016704834561939968,696.779994001587010871525,0.139355998800317402174305,10991343660267697136951,0,11250691236573161743960,1211.99,5.188083123448552e-09,2.8709251025784254e-18,1208.119112
19316,16014410,1668985727,26875516.6681605060094097264352,19667.073195030845450191215,3.933414639006169090038243,11052468461652703950992,0,11201855797213406143938,1220.01,1.4635680078538158e-07,2.7168480982456413e-18,1208.119112
19317,16021526,1669071563,25697164.722679436902864922219756,569.70382392,0.113940764784,11141937449439894541910,1208.01567882837955410413424,11535366133677259764651,1128.126384,4.43398195924081e-09,2.6823861220334902e-18,1133.606062
19318,16028712,1669158395,26609423.29030154517424214865763,152189.5777846208078638742842924882,30.43791555692416157277485685849764,12226474952673860214346,1208.01567882837955410413424,12250455117871005547322,1127.615285,1.143877310862953e-06,3.3053526542383933e-18,1087.549222
19319,16035707,1669243043,28921087.374010870475527680194955,1192.893601241070011511979061678802,0.2385787202482140023023958123357603,12338702945870146050358,1165.901151,12356461526752600135173,1127.615285,8.249299798547897e-09,3.399479405515844e-18,1171.585163
19320,16043088,1669332071,29535385.320188355030968275291722,9283.6864121350543467055084435,1.8567372824270108693411016887,12467584324851694496265,1198.40671,12752222938347159721291,1201.71,6.28648403363769e-08,3.1697640810202702e-18,1171.585163
19321,16050418,1669420571,30197114.876661224143868690660271,86231.687497125659111382986635,17.246337499425131822276597327,12837043445383672253434,1199.365771,12738432077425635226138,1190.6536,5.711253399494301e-07,3.0395160207964448e-18,1181.180617
19322,16057235,1669502855,33263894.495837199089350846256336,1.5929883661021596285532315,0.0003185976732204319257106463,13625318896474978145772,1199.365771,13923805323522464098141,1190.6536,9.577882507422657e-12,2.9341726861573744e-18,1207.927702
19323,16064672,1669592591,34292242.82274091962522987056942,2784.603076011558656914226436,0.5569206152023117313828452872,14132979977034939693008,1213.722761,14267839915634328918154,1205.17,1.624042551200499e-08,2.744225512228871e-18,1207.927702
19324,16071894,1669679555,38401145.65421724762554565395967,1543268.7349044859228572977695025,308.6537469808971845714595539005,15980903684047981540705,1172.448184,16638332846988193029602,1171.821994,8.037618194003037e-06,2.2900152964814264e-18,1177.756995
19325,16078423,1669758443,39477522.6064394202138155789878,25039.731229938186889717916564,5.0079462459876373779435833128,16160324854178417467128,1172.448184,16546872424771955029231,1223.789832,1.2685563620374598e-07,2.351223114896939e-18,1207.51645
19326,16085656,1669845803,40518155.8696832317533711364409,20332.658539333398070117139592,4.0665317078666796140234279184,16542871459567346130568,1267.428612,17026581257404233903075,1223.789832,1.0036319819060096e-07,2.259468469568784e-18,1207.51645
19327,16093291,1669937927,44064567.526292033644860261509856,21023.637465576499144230319708,4.2047274931152998288460639416,16982746202460428494335,1289.802697,17217558641921179697178,1281.398584,9.542196211517253e-08,2.171477040201512e-18,1288.985052
19328,16100469,1670024459,45498066.8579809618158226749688,509202.345367723499817289824311,101.8404690735446999634579648622,17318081777062292131926,1292.384754,18244223592136341893604,1279.7047,2.2383471673957625e-06,2.00515926967453e-18,1279.958432
19329,16107482,1670109071,46517607.05078132069179476664241,4098.857634711990210373307551,0.8197715269423980420746615102,18733460492268776211438,1292.384754,18729290384318789705675,1279.7047,1.762282238739168e-08,1.9809510595600054e-18,1242.254465
19330,16114680,1670195987,46654730.397222927114763920483775,638002.194556381367448308289439,127.6004389112762734896616578878,19243517690933020202036,1259.973171,18329866650128234666991,1251.9496,2.734994668812223e-06,1.9943805621343047e-18,1242.254465
19331,16121952,1670283935,49296175.73422151777324250879804,1303448.6589675258073423672168335,260.6897317935051614684734433667,20233466909421515142725,1266.415126,17657095857042771283635,1294.616629,5.288234389600607e-06,1.9038789129084686e-18,1301.629782
19332,16129049,1670369423,45663332.367743793819181268060613,310578.51009219478387824134646,62.115702018438956775648269292,19388695443629666680584,1266.415126,17319871025269358584915,1249.362533,1.3602971749454927e-06,2.041860511778003e-18,1244.527523
19333,16136067,1670455163,47153834.222527240782834413053298,15126.6415823266234942992383015,3.0253283164653246988598476603,19393780393528796876551,1263.379525,18512708035358322367189,1249.362533,6.415869178714646e-08,2.004685708158032e-18,1244.527523
19334,16143200,1670541203,49578755.82145428558416577628315,9841.1784353005076160311236225,1.9682356870601015232062247245,20016526813998317412751,1240.22302,20345488674459028021658,1228.611771,3.969917466562128e-08,2.0040334703788567e-18,1228.922105
19335,16149971,1670623007,51844578.72890877777202697022767,832.3019428896893532312238205,0.1664603885779378706462447641,20182549864255593306703,1240.22302,20437730831653899020598,1271.778337,3.210757858566971e-09,1.8440253197266e-18,1276.917401
19336,16157626,1670715335,53941056.647069369586353520321833,156907.64699808591623675710979,31.381529399617183247351421958,21069318935613100067030,1261.61212,21193624296456471058850,1271.778337,5.81774465504879e-07,1.761615198271857e-18,1276.917401
19337,16164745,1670801243,62038087.308619677248226599772952,179192.600623427097562980232326,35.8385201246854195125960464652,24343791618005643080574,1274.163479,24375916056073931026707,1268.05,5.77685768202366e-07,1.4818509188301801e-18,1273.965574
19338,16171769,1670886059,62997870.644909382229171849784129,29586.8831775250919921574200265,5.9173766355050183984314840053,25200500978246121973145,1251.309713,25215548939462819752216,1252.18,9.392978802186195e-08,1.3585473354822409e-18,1250.147017
19339,16178439,1670966651,62825975.399358595555776529201499,388541.479585064752903577118943,77.7082959170129505807154237886,25579481256682695646683,1251.309713,24699170696600509080492,1315.706624,1.2368816468515393e-06,1.405945067165621e-18,1250.147017
19340,16186361,1671062207,66654708.889041496813722310255616,76054.4479844245752225363758365,15.2108895968849150445072751673,25939882570747016090558,1311.915665,24515834446224574516009,1315.706624,2.2820427619309116e-07,1.3093597336164082e-18,1321.683671
19341,16193469,1671148031,63817371.371028525602727118548249,65.6927595034151282092967025,0.0131385519006830256418593405,25682326530240131788182,1267.93566,24435914165368889432275,1291.039785,2.058773593838056e-10,1.649726183788714e-18,1273.944081
19342,16200528,1671233219,64913825.684937684654456090100221,193882.5473354022796577764390125,38.7765094670804559315552878025,26052045149056512848267,1158.347746,24927342626580944834948,1210.107695,5.973536308780209e-07,1.5096026863959828e-18,1273.944081
19343,16206306,1671302855,60128835.2826692756101038080352,106818.568861335695453677110968,21.3637137722671390907354221936,26100112111475280150494,1158.347746,24789916769740647812324,1210.107695,3.552989787983591e-07,1.5714741341138774e-18,1182.1152
19344,16213331,1671387611,60008567.9544288287746388342112,219648.07999472746367979049621,43.929615998945492735958099242,26162612217090315158341,1179.503666,24625728877294471844307,1188.18,7.320557296469086e-07,1.5621335812823358e-18,1182.1152
19345,16222181,1671494387,61368232.962151741759919419446218,2868869.588319795048106170025485,573.773917663959009621234005097,28540365002656251901919,1166.250956,23029525121679256740297,1184.23,9.3496894071861e-06,1.4960766259087904e-18,1190.643853
19346,16229197,1671578963,62512179.762233076351467054580134,23281.04985835000627484455756,4.656209971670001254968911512,28432257159775691967626,1166.250956,23026457497321266429802,1216.163924,7.448484422363823e-08,1.432801036192173e-18,1215.456854
19347,16235880,1671659543,55321907.137632758909703157499716,32053.955443091198792172869204,6.4107910886182397584345738408,25035887831993627099159,1202.608272,20503803877215825425892,1216.163924,1.1588159953830108e-07,1.6016950592710443e-18,1215.456854
19348,16243304,1671748955,55827323.302833638344162421668274,9488.8838676902617512637170695,1.8977767735380523502527434139,24927425351892743321043,1207.307367,20943584905797458846835,1212.77,3.399369092520555e-08,1.557539038135916e-18,1217.691386
19349,16250856,1671839819,56128659.623330181140932864191216,56308.842523654519927092049601,11.2617685047309039854184099202,24885854827007290342730,1208.756933,20956150743688248176021,1216.33,2.0064203528654884e-07,1.5720351309828661e-18,1225.038192
19350,16258004,1671926003,56138525.289829119863906251909247,674259.325053882483230307539411,134.8518650107764966460615078822,24345557851417777732326,1208.756933,21532334747991338407475,1216.33,2.402126958529284e-06,1.5502169602098257e-18,1224.279733
19351,16265114,1672011707,56066073.984049884529315623727181,461609.3812305862926012227697855,92.3218762461172585202445539571,23980744737121422440445,1207.307367,21837726411722272647635,1220.358257,1.646662048646062e-06,1.574975064085608e-18,1224.279733
19352,16272239,1672097663,55995884.223789325895570296629698,398086.968003211108870135912043,79.6173936006422217740271824086,24306918010843643269557,1206.221333,21606733951377492990689,1220.2255,1.4218436712678522e-06,1.6028236091352101e-18,1220.220701
19353,16279463,1672184879,49693365.688170149528281222212857,395205.399165172691189462213753,79.0410798330345382378924427506,22099977237593419692991,1206.221333,18919862644797407275443,1206.1661,1.590576100822465e-06,1.9267780437858832e-18,1212.091817
19354,16286635,1672271267,51913981.822691963595181438980797,3388931.3969345133093099079082325,677.7862793869026618619815816465,24232441016800008650925,1183.638955,18623256686843692073261,1206.1661,1.3055948620967415e-05,1.823218006401779e-18,1212.091817
19355,16293138,1672349759,51193695.124555907987481543907755,390557.7196332495718671313558335,78.1115439266499143734262711667,23953882353542823098259,1188.858179,18752744729279718808539,1195.432274,1.5258039830217766e-06,2.1684459012965216e-18,1199.437345
19356,16299897,1672431239,51058347.52826477412249005055484,25338.786543351519918338707796,5.0677573086703039836677415592,23905677768556892198782,1188.858179,18822791971205555481418,1190.057263,9.925423665278053e-08,2.193454678679283e-18,1195.65158
19357,16308133,1672530527,50926631.88701003748214306895938,364091.562835190576602556141413,72.8183125670381153205112282826,24001374259074147512790,1186.838938,18617317351787927794919,1190.057263,1.4298670434086185e-06,2.2275836146866113e-18,1195.65158
19358,16315143,1672614971,51123237.271817745306740793430325,318242.338636982162957838659487,63.6484677273964325915677318974,23769316821307599854907,1182.101301,19066930286640780216075,1195.753461,1.245000730078636e-06,2.2278718283329883e-18,1194.154225
19359,16322117,1672699007,53636454.808112768650704928532442,28603.2787986903156300928786375,5.7206557597380631260185757275,23744072185205581612337,1206.100723,20271795329342897839149,1214.969529,1.0665611253025595e-07,2.177301910339165e-18,1219.256322
19360,16328822,1672779827,54202998.78588130955926422957954,6735.3208943303180332600749565,1.3470641788660636066520149913,23855714172649785871216,1206.100723,20624930576015362640713,1207.036699,2.485220760916542e-08,2.1165103516397994e-18,1219.256322
19361,16336529,1672872695,59837570.3877977273043930628713,2049309.7724549689707682898142095,409.8619544909937941536579628419,25329955120732993994171,1238.488009,23486867353132951486414,1207.036699,6.849575472980337e-06,2.0042435489332115e-18,1226.43357
19362,16344001,1672962935,63891049.022419119023246875901194,181618.973010077303696959013542,36.3237946020154607393918027084,26172329307289392707307,1240.22302,24890461764776085465021,1252.19,5.685271279435338e-07,1.8245522343749867e-18,1251.913609
19363,16351154,1673049251,64722469.79150988020111778050524,30187.27360801639172008359735,6.03745472160327834401671947,26143532682217146919653,1256.70166,24898165319029646322378,1250.69,9.328220540797804e-08,1.7439193645249907e-18,1268.72908
19364,16357811,1673129543,64533069.69804678555482924984236,75218.84743815826622750815973,15.043769487631653245501631946,25933963178579125898742,1256.70166,24958364710354482722828,1250.69,2.331172150654253e-07,1.811090600801809e-18,1268.72908
19365,16365084,1673217251,64363117.471477330173988154431344,73893.18003041617362320884256,14.778636006083234724641768512,25886759438540175931942,1250.55919,25070575215653205400019,1264.07,2.296134274824774e-07,1.821001430795964e-18,1263.773598
19366,16371605,1673295779,68844868.812112366757145789166696,15422.464716834074641202702815,3.084492943366814928240540563,25913390954523606935368,1328.151058,25702199098140505312423,1311.5143,4.4803527068732515e-08,2.0334432468099917e-18,1334.534234
19367,16379727,1673393783,73180994.475748183199806850832778,162243.329808780615779069890055,32.448665961756123155813978011,27379765022627053128640,1328.151058,27486883708573992491642,1339.965258,4.4340291074494005e-07,1.9138517980359576e-18,1334.534234
19368,16386370,1673474027,75104020.52356837322552454305946,212259.473767768404836066398236,42.4518947535536809672132796472,27767184936345346222611,1322.5848,28544355106239736541302,1339.965258,5.652413074241726e-07,1.873047073498272e-18,1334.466098
19369,16394119,1673567567,84584673.54925729662278574440715,396695.799197344480574961419474,79.3391598394688961149922838948,29502634281040457716851,1385.672628,29936390273195068188488,1401.598603,9.379850569886787e-07,1.4924729890734085e-18,1423.843239
19370,16401232,1673653379,91920379.472166649524022924731801,10190.307271112899193796112324,2.0380614542225798387592224648,31965600052793904469761,1444.5294,32628400239954574767152,1405.11,2.2172030467299168e-08,1.657134361189655e-18,1423.843239
19371,16408371,1673739407,97960996.691422103574463029399493,571930.1317434444102846302322,114.38602634868888205692604644,32151868611287956352057,1444.5294,32421017131767647731223,1405.11,1.1676690745502086e-06,1.5333126943581695e-18,1517.909891
19372,16415494,1673825519,89596981.1445882876096926372608,2056441.535322423623342659518656,411.2883070644847246685319037312,30346655735114729214038,1510.108306,28713405937887773966846,1549.01,4.590425947507795e-06,1.750205417760048e-18,1517.909891
19373,16422716,1673912675,99067344.804509861018525072662314,3454750.895032078227676578108997,690.9501790064156455353156217994,32968084117294477902568,1539.534979,30340709604864064768453,1538.19,6.974550295759631e-06,1.6077122733600085e-18,1565.743379
19374,16429872,1673998895,106830909.238314199009296304635675,1494242.6716268774979574742459675,298.8485343253754995914948491935,35007440798458469930907,1539.534979,33186425204264255091248,1592.373361,2.797397648827606e-06,1.6466802238781387e-18,1567.496791
19375,16437063,1674085595,101424873.747932897001038529038988,412520.51132715812610720097071,82.504102265431625221440194142,35225268802577848763038,1552.365651,31428249077284289549802,1592.373361,8.134503817128302e-07,1.6503231647252763e-18,1522.589433
19376,16444263,1674172487,101692697.117242755349928129400204,1336159.828818113636222752360745,267.231965763622727244550472149,34584850246946140505030,1493.140976,32244371348424683740512,1525.70215,2.627838314245198e-06,1.6289423400958735e-18,1522.589433
19377,16451438,1674258971,104801038.670442742693118982355245,700811.801203037748115394699437,140.1623602406075496230789398874,34301696188097763908158,1634.402704,33265946554760837350447,1559.4942,1.3374138464539647e-06,1.7086886993604974e-18,1551.980755
19378,16458523,1674344411,107172375.92644638340867213538387,634469.948438571322130026791004,126.8939896877142644260053582008,34684144471415108455284,1634.402704,34412514957257839796874,1632.18,1.1840176966385727e-06,1.7587616299033717e-18,1551.980755
19379,16465648,1674430415,112286527.43649208434486696598166,231297.9827295328384944588416975,46.2595965459065676988917683395,34690919932983222005567,1614.585115,34785221515499881347010,1632.18,4.1197815625806436e-07,1.759413861300419e-18,1617.159734
19380,16472857,1674517331,114860387.045408178900883038279849,468512.7388623801704616503427175,93.7025477724760340923300685435,35525448313663673626486,1605.729715,35609396600912389890628,1631.74842,8.15795159522075e-07,1.7514811150968533e-18,1615.658319
19381,16480022,1674603731,115431962.519922437581241131741428,689079.453584014401370922725745,137.815890716802880274184545149,35939161407513144033990,1605.729715,35549822796915538730011,1616.512972,1.1939144731513786e-06,1.6808774775375109e-18,1615.658319
19382,16487203,1674690407,110608699.623484309323431973391942,1104047.254262908810585717712661,220.8094508525817621171435425322,36601239172917476616951,1527.115732,35464465293387032201985,1616.512972,1.9963117874473206e-06,1.7013612163478004e-18,1535.765533
19383,16494337,1674776423,120781212.525991091674764344596442,1416218.251916342767420327135942,283.2436503832685534840654271884,38187146335346539392217,1608.622486,37107802538203100156149,1614.93377,2.345096927407621e-06,1.3985984959045912e-18,1605.091777
19384,16501462,1674862487,122518839.954343473719360681220183,322489.634545642419537280524604,64.4979269091284839074561049208,38929151818245947713706,1608.46164,37449131639669639738502,1577.71711,5.26432726045754e-07,1.475687889014628e-18,1605.091777
19385,16508636,1674948935,122886300.190499807553515319069123,26783.714101592109049131652995,5.356742820318421809826330599,39319163981975285446737,1608.46164,37638881262057877285462,1568.38733,4.35910497102959e-08,1.4145225296779804e-18,1597.779119
19386,16515849,1675035983,123486624.71417654210882163268982,395900.4738738758221549686708285,79.1800947747751644309937341657,39488818233391778361205,1602.201169,37156632176324618009455,1568.38733,6.412038142434152e-07,1.4357710401879543e-18,1612.141985
19387,16522960,1675121711,124404608.33507095095817152300026,316256.6680812928885843017298325,63.2513336162585777168603459665,39536478810089498062109,1574.565379,37678742570825099450090,1618.706,5.084324002363132e-07,1.2749598901036269e-18,1612.141985
19388,16530180,1675208795,121996110.110534365198095154473394,132287.923988346898122115661096,26.4575847976693796244231322192,39639079271066325769751,1574.565379,38096594391246290288017,1592.695,2.1687236399338905e-07,1.362416329392123e-18,1570.346107
19389,16537323,1675295003,122750170.30325076971494831351836,416698.9559982958585577087940335,83.3397911996591717115417588067,39901350861563584483236,1577.875275,37976664245868037747167,1592.695,6.789382938839971e-07,1.455020879807663e-18,1577.167365
19390,16544531,1675382207,123058676.904287496111218437092705,429940.588515035795009484599775,85.988117703007159001896919955,39967940222393228916252,1660.43004,38105919377426708909045,1671.83,6.987570471758521e-07,1.4517229907460664e-18,1577.167365
19391,16551565,1675467179,129337390.003578844222601038364988,350096.385170252186110241815532,70.0192770340504372220483631064,40115965790503160681701,1683.501649,38538088080295767277253,1651.42058,5.413691820448283e-07,1.3955926666938554e-18,1645.411411
19392,16558845,1675555055,131209429.96027176994562644204186,751274.0241450694756158935439785,150.2548048290138951231787087957,39811733813908588270525,1683.501649,38415634247448667156063,1683.99,1.1451524854159397e-06,1.3700624409544085e-18,1678.337215
19393,16565944,1675640663,131535596.23941587438803594354912,87745.292149999590043810782623,17.5490584299999180087621565246,39877129680926135568719,1666.251436,38544722757400535705147,1683.99,1.334168007119367e-07,1.2436811402777449e-18,1678.337215
19394,16573145,1675727459,128251626.899522236599335230031544,143392.705754340979626221724276,28.6785411508681959252443448552,40625215979830776548308,1649.177979,38210060675054483673949,1635.6,2.2361151935590012e-07,1.3269332466204688e-18,1627.864641
19395,16580188,1675812599,127316391.887165531715344371853889,399116.074126931586859512225857,79.8232148253863173719024451714,40394160352421452582033,1649.177979,37866382888291396059588,1670.157436,6.269673028130567e-07,1.3358535232957893e-18,1627.864641
19396,16587473,1675900763,133093705.738467351171896705298045,430155.4998600271230794636222335,86.0310999720054246158927244467,40779582335209962452362,1687.04054,38449108493849196055168,1670.157436,6.463949553035874e-07,1.3471947570447152e-18,1680.939237
19397,16594623,1675987103,135058157.182974236491227331108384,210022.529925737661094522897896,42.0045059851475322189045795792,40901096860642000351415,1634.402704,42449634318190365002156,1620.10354,3.110105073345597e-07,1.0593789804725208e-18,1621.399648
19398,16601738,1676072867,132661759.308142193557816338750624,1028090.157676192029690711652735,205.618031535238405938142330547,41542525360561925696312,1522.541479,40329510112973021576336,1534.658654,1.549941992384074e-06,1.0623808491145649e-18,1621.399648
19399,16608843,1676158595,124794726.27692674119307044842544,1158882.328671600289191557084073,231.7764657343200578383114168146,42551077145156516281292,1522.541479,39717552383142922775450,1537.5327,1.8572617020690012e-06,1.1151876369271132e-18,1517.90512
19400,16615995,1676244959,125372244.17816795520573125967086,653271.273900973183587915138663,130.6542547801946367175830277326,42680924283462732652110,1552.67614,38455920493035873682811,1537.5327,1.0421306217867517e-06,1.1004739427808629e-18,1546.21531
19401,16623272,1676332775,125378850.92105821724640690574524,817915.786703963882533626321248,163.5831573407927765067252642496,43015152373012071860626,1475.331247,38126428748248275473271,1516.1,1.304710931222276e-06,1.2441036899933748e-18,1546.21531
19402,16630282,1676417507,122006046.828115785865573687655292,520839.2718015638403276440287405,104.1678543603127680655288057481,43080576175293769766784,1475.331247,38302509721541925357055,1550.788294,8.537925542909052e-07,1.2998633388364316e-18,1500.156123
19403,16637531,1676505083,129019003.369796543711080745586123,261844.636872007908238757583867,52.3689273744015816477515167734,43498097952568855238579,1534.156293,38247314171290172324079,1550.788294,4.059008828668505e-07,1.2817851503423027e-18,1579.360601
19404,16644656,1676591075,129114364.476085614067723933004171,1797876.8158645489809005141550675,359.5753631729097961801028310135,43064869041022944429602,1671.257445,38740740339912431420480,1695.09,2.784936940455683e-06,1.3513255629052114e-18,1579.360601
19405,16651773,1676677727,135989422.500548352775458649187495,1304920.504679463515545798013654,260.9841009358927031091596027308,43127634205078023132750,1707.91823,38893582424308989181711,1665.238744,1.9191500054707585e-06,1.3458258429141064e-18,1659.088195
19406,16658900,1676764343,139665696.133544494217075108362033,2228662.840997663700600622722866,445.7325681995327401201245445732,42050169940139357015641,1707.91823,40380316857017385508593,1689.8,3.1914248132435865e-06,1.3078308478887655e-18,1695.470389
19407,16666032,1676850923,139604002.746679442343242318470982,76424.546474644609938418008196,15.2849092949289219876836016392,41977266917619348839360,1699.570317,40416806768619147177775,1689.8,1.0948761492651743e-07,1.2793059546024672e-18,1695.470389
