blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,date
17431682,1686179723,18562249.119915722082608361843792,3453541.449153189979164947755917858,2023-06-07 23:15:12
17438899,1686267803,19424082.281233073428023879256651,1614319.163730219148325743649255698,2023-06-08 23:42:56
17445843,1686352355,21027065.098230012895517533958528,1034787.060036004242353945986744158,2023-06-09 23:13:04
17452977,1686439079,20098335.616088547270974166132973,7724803.193704877269427766150369385,2023-06-10 23:17:20
17460247,1686527603,21860967.787409470070963240442216,664532.2467959499585935142890377875,2023-06-11 23:53:36
17466641,1686605363,28291903.00270741476890981949468,6791753.656547207493108918349828516,2023-06-12 21:28:32
17474344,1686698975,35718048.604162080037759084267878,5259601.70391137946935637910982568,2023-06-13 23:30:08
17481575,1686786995,68157611.201037878660913527769762,12041462.21417533113327543762908594,2023-06-14 23:55:44
17488321,1686869051,65688083.18893620017552693901736,19306448.62940336103137279347681876,2023-06-15 22:43:12
17495748,1686959147,69955363.967861672746653723799779,7316339.96852140934233652748586836,2023-06-16 23:45:04
17502680,1687043003,73563574.128448587740193511052112,3034033.062098244032066430033804176,2023-06-17 23:02:24
17509290,1687123175,73224644.919541571721696311265448,268241.482800168410557523759542089,2023-06-18 21:20:00
17517179,1687218851,71520163.30230295332086344373625,13027858.40609628042006012674021226,2023-06-19 23:53:36
17524077,1687302563,71936144.055392983984678073965794,6108829.089422552465907503281015993,2023-06-20 23:08:48
17531374,1687390931,75313642.829528992449761617222952,7796826.587999035464562508439375613,2023-06-21 23:42:56
17538230,1687474163,79283994.307351295309223865976975,3954934.739256193340511613063269915,2023-06-22 22:49:36
17545147,1687558175,78688825.462908046650033494442445,1842520.755736866949498152328977647,2023-06-23 22:09:04
17551737,1687638371,83116347.953230468269385813379988,62788.62490342770229221088819892571,2023-06-24 20:26:40
17558554,1687721099,82373777.50285156134489555612027,765301.2699045477023262678566414236,2023-06-25 19:24:48
17566955,1687823315,84955960.706977780216009885043604,2828035.722712310113847357084189884,2023-06-26 23:49:20
17573276,1687900307,83984600.295798811669147705913845,1551691.877148518736405688346055968,2023-06-27 21:11:28
17581054,1687994399,83978276.392096616658628181797862,635846.8172298800639289293297448596,2023-06-28 23:19:28
17588082,1688079527,82292272.038523141114211352850626,2145908.025689940384917362416639974,2023-06-29 22:58:08
17595361,1688167811,80739162.496192332843136120278075,19104191.52554435209717396857414671,2023-06-30 23:30:08
17602438,1688253803,78854840.263448856125505160246377,542266.3678717496276099689060632955,2023-07-01 23:23:44
17609451,1688338775,78592372.320727056720671900125693,3001963.603325301927853656393540072,2023-07-02 23:00:16
17614725,1688402951,79277723.747918133656386037506483,2562869.650127851412813864910986848,2023-07-03 16:49:04
17623966,1688515115,79989805.98544763154466859803895,2060904.775233155281170435159647452,2023-07-04 23:57:52
17626838,1688549927,80061449.10143603497119079420936,583.8380636120306357668965495,2023-07-05 09:38:08
17638127,1688686811,78687111.046202145705126714028554,270382.6012787477269646945429606458,2023-07-06 23:40:48
17643747,1688755031,78687111.046202145705126714028554,47124.98872893607168276818296710992,2023-07-07 18:37:52
17650974,1688842655,76794929.290486293853984166507976,23485.45563524409487554054552345041,2023-07-08 18:57:04
17658277,1688931575,76714637.645604317625253189275,6319.877689637078599978034514657768,2023-07-09 19:39:44
17666389,1689030131,76568353.392756222993151853583952,1492033.303121950532240006466491145,2023-07-10 23:02:24
17673673,1689118607,77112220.463192078609306070732672,0,2023-07-11 23:36:32
17680878,1689206171,76858128.320746999247093365988064,791237.3506324843116737565215886678,2023-07-12 23:55:44
17687713,1689289307,88522994.11814586155242665877988,32757.9616102818879426442746799004,2023-07-13 23:02:24
17694552,1689372371,85176399.362410809126485013485052,1277641.876298388781746657501218676,2023-07-14 22:06:56
17699456,1689432359,82854593.553428482090236480469872,13219.23717537988274596249179854142,2023-07-15 14:45:20
17703774,1689485231,82912492.09670586112846371575768,494.7408227415657485473131393798872,2023-07-16 05:26:24
17716152,1689635291,75337296.21350888928422862491352,6775011.828914104514997752408536709,2023-07-17 23:08:48
17723155,1689720191,27647518.630444698507455584467648,1701823.223147008234012610275354962,2023-07-18 22:43:12
17726497,1689760727,27647518.630444698507455584467648,699540.5157759287106424994847501506,2023-07-19 09:59:28
17736766,1689884951,27627754.301306967211680773981025,1985323.568007230016606340028674722,2023-07-20 20:28:48
17744331,1689976463,27545238.790409290742576831887911,1060.553886385841872995109071271624,2023-07-21 21:54:08
17746938,1690007975,27545238.790409290742576831887911,401.9328710915209368355798218534766,2023-07-22 06:38:56
17755764,1690114679,27545238.790409290742576831887911,338.4735801242997022484550036736,2023-07-23 12:18:08
17765366,1690230755,24834407.518736847031443779501568,308.4910460394904809873217601130828,2023-07-24 20:33:04
17771516,1690305095,24207206.516449879535637115515489,18363.85280107125769968792386595571,2023-07-25 17:12:32
17780647,1690415471,24207206.516449879535637115515489,21345.95922357115461684631941734704,2023-07-26 23:51:28
17787266,1690495535,30636453.006915051424237598395764,1260034.633679689906157406840299454,2023-07-27 22:04:48
17792033,1690553111,30581854.73242143376632751871152,1460.159064722083490437777300590285,2023-07-28 14:04:48
17801587,1690668623,31319540.215348518784400366313486,2506.7389854863150313509693205,2023-07-29 22:11:12
17809151,1690760123,28882433.012644235074521609438846,11719612.72750652337979411309881186,2023-07-30 23:34:24
17815988,1690842635,13393676.717853488222808449375363,6987733.269362001996786584292526326,2023-07-31 22:30:24
17823450,1690932659,14675695.041227922018484423392911,2585026.256577434032052102691740564,2023-08-01 23:30:08
17829448,1691005067,14952015.561245510679744777886656,720395.8655460840196307467906237562,2023-08-02 19:37:36
17836794,1691093807,14910010.903152910266382385067084,344270.7882492111046100043792377706,2023-08-03 20:16:00
17844572,1691187803,24257736.92646913435389016811147,570704.5117041811646287187830881122,2023-08-04 22:24:00
17849752,1691250383,26028252.449761937646561313040172,3.671933610796380991874763937163694,2023-08-05 15:47:12
17858573,1691357051,50976785.678056935264439737481712,2641876.121230292665621688061788696,2023-08-06 21:24:16
17864773,1691432099,53687133.260799110521574242935022,3012877.603126486864195988422478314,2023-08-07 18:14:24
17871872,1691517875,53295623.04568785004987015492746,1574346.819632588675239077834326725,2023-08-08 18:03:44
17880582,1691623271,54787834.580579636496363244546652,350627.0974820898360377921472467364,2023-08-09 23:21:36
17885356,1691681003,54787834.580579636496363244546652,11762.65280340790885231136601588174,2023-08-10 15:23:44
17895055,1691798219,54652735.30500353154867697373971,13237.60931971120592738919138106296,2023-08-11 23:57:52
17901633,1691877767,55897237.66389272421133711254794,105502.8426132347919521354609714151,2023-08-12 22:02:40
17906528,1691936855,62017574.999820417349575270650454,87421.4245739333143483609899605409,2023-08-13 14:28:16
17914240,1692030011,64083619.307553309058165140832118,11689.19373916843896511209153286115,2023-08-14 16:19:12
17921801,1692121379,63396178.34342618642167144916668,22659.43283606198792200705288073563,2023-08-15 17:42:24
17929798,1692218027,63396178.34342618642167144916668,634403.1951766032311207365624457776,2023-08-16 20:33:04
