day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailySupplySideRevenueUSD,token0Balance,token0PriceUSD,token1Balance,token1PriceUSD,dailyLPFeeROI,dailyCRVRewardROI,dailyLDORewardROI,outputTokenPriceUSD
19273,29153796,1665261079,0,30.4261953659814450964722623487929,0.006085239073196289019294452469758579,79013720551915385,1456.33952400883082124972,131846034133889984,1326.0257,0.0,,,0
19274,29323445,1665349571,0,13.93626138303014084526061770513536,0.002787252276606028169052123541027072,69426459031099511,1443.647963060889688238284314,142414669719122671,1320.640924,0.0,,,0
19275,29464988,1665438244,0,26.80997742422727311749982674511717,0.005361995484845454623499965349023434,51031931821651256,1430.981929682623098737256258,162913705885212856,1304.564861,0.0,,,0
19276,29595686,1665507835,0,19.2743386654039429786123789079648,0.00385486773308078859572247578159296,37688677696214796,1410.151835050083820607286512,178136016545056602,1295.2176,0.0,,,0
19277,29704768,1665575779,0,0.3769907491836061587345934477786442,0.00007539814983672123174691868955572884,37430337666992059,1410.151835050083820607286512,178436016545056602,1299.185688,0.0,,,0
19279,30103890,1665761836,0,2.874529640504619427581883955067534,0.0005749059281009238855163767910135066,35486198120348792,1410.151835050083820607286512,180703311888618428,1311.36,0.0,,,0
19286,31615979,1666393705,0,125.0579314543055820858318477415936,0.02501158629086111641716636954831874,65289862437370872,1397.61276625993189128007846,146976372001818409,1299.178462,0.0,,,0
19287,31829877,1666481820,0,72.05811719812151400032556215774619,0.01441162343962430280006511243154924,61056695679062355,1423.758485432974797904663252,151701116159192803,1313.23965,0.0,,,0
19288,32055150,1666566382,0,20.83884319350984089709138869483368,0.004167768638701968179418277738966736,46893141252280148,1460.109565401512102103075,167623779850290286,1366.511805,0.0,,,0
19289,32249331,1666629124,0,0.9772326541302290664250037747736375,0.0001954465308260458132850007549547275,46237525576879329,1460.109565401512102103075,168368941439253983,1338.48295,0.0,,,0
19290,32516595,1666716646,0,11.75631610387512935173627155788174,0.002351263220775025870347254311576347,38572816506576594,1521.58351577000869122157,177163941439253983,1410.180986,0.0,,,0
19291,32871042,1666823648,0,4.631638005053902132302771284328731,0.0009263276010107804264605542568657461,35784895926023833,1521.58351577000869122157,180412582934088547,1571.745,0.0,,,0
19292,32900835,1666834256,0,0.9609521528225421646012978186046595,0.0001921904305645084329202595637209319,35239446659468598,1693.990134262514045463652825,181052154706934269,1560.580854,0.0,,,0
19293,33200448,1666921494,0,0.9741877914855739979850486253788615,0.0001948375582971147995970097250757723,34679810280019524,1693.990134262514045463652825,181709949821483476,1521.061341,0.0,,,0
19294,33495550,1667012755,0,0.9587629123407488792528647633920755,0.0001917525824681497758505729526784151,34138742619962495,1693.990134262514045463652825,182347510691969140,1570.275,0.0,,,0
19296,34225625,1667234982,0,0.005104094556991645423037821799462947,0.000001020818911398329084607564359892589,34141626487336493,1693.990134262514045463652825,182344108952607278,1565.085,0.0,,,0
19297,34402507,1667293132,0,0.4188107310138607579284532024334102,0.00008376214620277215158569064048668204,34376523161793464,1693.990134262514045463652825,182067144008085748,1587.915,0.0,,,0
19299,35036679,1667503412,0,238.2382337144109474958884069378221,0.0476476467428821894991776813875644,100169065800811530,1673.96202710027081682411942,108555559923764658,1545.701,0.0,,,0
19300,35313574,1667606195,0,35.11759976633297579892899719021105,0.007023519953266595159785799438042208,104463047263810949,1761.714608818137086210101064,103868559379654620,1645.268074,0.0,,,0
19301,35548622,1667678984,0,6.7371341654609004904143542866297,0.001347426833092180098082870857325939,104580011322829800,1791.939736263491546561277813,103741583799836647,1632.83,0.0,,,0
19302,35808881,1667761963,0,6.814712134435503551232172845099515,0.001362942426887100710246434569019903,102786382143328467,1777.319157915317907255907648,105701595919068635,1610.773269,0.0,,,0
19303,36072600,1667842614,0,26.62253503038398025569156309238267,0.005324507006076796051138312618476536,104173096256900477,1725.913392523749783058623633,104190093947935359,1583.62,0.0,,,0
19304,36307341,1667911238,0,37.30741789924090950985813289145202,0.007461483579848181901971626578290402,120095508434453201,1615.730680031940431510828175,86861552721191531,1474.696593,0.0,,,0
19305,36613392,1667997359,0,13.14721773445935012286118535544496,0.002629443546891870024572237071088992,123675023730672456,1615.730680031940431510828175,82983616995999076,1227.217823,0.0,,,0
