,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,date
0,15384250,1661088784,323.5565808719687321594201358347503,0,2022-08-21 13:32:48
1,15417878,1661551494,310.804003506357532861601810046832,0,2022-08-26 22:04:48
2,15421151,1661597556,300.7772056733630572987816824489746,0,2022-08-27 10:52:48
3,15428024,1661692447,293.8499024610166544445711444672129,0,2022-08-28 13:13:36
4,15435531,1661795676,307.1984466693742482071894651206324,0,2022-08-29 17:55:12
5,15441640,1661880397,295.9820633499075216762193799426134,0,2022-08-30 17:27:28
6,15449550,1661989437,309.4870152912830354565567776045544,0,2022-08-31 23:42:56
7,15450487,1662002343,311.5532819412615052944094227891143,0,2022-09-01 03:18:24
8,15460801,1662144267,3330.992138701537726596942965460089,0,2022-09-02 18:44:16
9,15464764,1662199889,3259.930906132675032594207643714476,0,2022-09-03 10:12:16
10,15469920,1662270691,3264.311412959597400100912398109414,0,2022-09-04 05:52:00
11,15476393,1662361019,3291.525056918589229086530280428929,0,2022-09-05 06:56:00
12,15486427,1662499637,3294.90408631902509713146564601031,0,2022-09-06 21:26:24
13,15491021,1662563606,3224.853843886665940596117493283063,0,2022-09-07 15:13:04
14,15499172,1662675919,3428.80804872846662132830829092678,0,2022-09-08 22:26:08
15,15505313,1662763157,3612.644888352249314774321450396179,0,2022-09-09 22:38:56
16,15509404,1662821937,3619.974648938071397624738134475502,0,2022-09-10 14:58:08
17,15516545,1662924162,352.0748181364680267461788132563952,0,2022-09-11 19:22:40
18,15528890,1663100199,322.4095675116488901252683732848605,0,2022-09-13 20:16:00
19,15535498,1663195995,328.4136932566485791965467955396312,0,2022-09-14 22:53:52
20,15538167,1663233587,320.9338106828252568830843076111351,0,2022-09-15 09:18:56
21,15546060,1663329899,295.7509037446907459011781052617331,0,2022-09-16 12:05:20
22,15590684,1663871471,257.5605653260433302904523079545678,0,2022-09-22 18:31:28
23,15635237,1664409107,267.8973664769389784803555507017167,0,2022-09-28 23:51:28
24,15639948,1664465963,265.7504099537464974837202849459972,0,2022-09-29 15:38:40
25,15649186,1664577491,264.6945151858166131639251875252569,0,2022-09-30 22:38:56
26,15765622,1665983015,260.623988513768360130234874457284,0,2022-10-17 05:02:56
27,15821127,1666653083,269.2698136503893886906074261480409,0,2022-10-24 23:10:56
28,15834048,1666808987,313.1649882581631028366089176557289,0,2022-10-26 18:29:20
29,15853078,1667038811,329.2850530585010474385774926977164,0,2022-10-29 10:20:48
30,15862869,1667156891,318.1913594056596157755419560423447,0,2022-10-30 19:07:44
31,15865765,1667191919,316.9060797318255084214472074847834,0,2022-10-31 04:52:16
32,15876433,1667320859,314.8130754097105994883431732960368,0,2022-11-01 16:40:32
33,15881157,1667377871,313.0793446223476009404874449803031,0,2022-11-02 08:32:00
34,15919716,1667843027,50672.88120573899061486655625772703,0,2022-11-07 17:44:32
35,15925049,1667907335,47185.79249968101145915190476812823,0,2022-11-08 11:35:28
36,15933966,1668015023,36851.38847980026129537583882109209,0,2022-11-09 17:29:36
37,15938623,1668071279,38424.00453742588755050574801206753,0,2022-11-10 09:08:16
38,15949416,1668201623,39956.9875302361974488568542353885,0,2022-11-11 21:20:00
39,15955946,1668280331,40262.34779575340721382488657406416,0,2022-11-12 19:12:00
40,15963961,1668376907,38730.66968173018972745207369995873,0,2022-11-13 22:02:40
41,15968895,1668436391,39661.96968945248644536029206868682,0,2022-11-14 14:32:32
42,15976257,1668525203,252.9170636752426425376925584440217,0,2022-11-15 15:13:04
43,16235784,1671658379,242.2517659941757360900423455773733,0,2022-12-21 21:32:48
44,16247343,1671797555,0.0002968277467175954027058083744122558,0,2022-12-23 12:11:44
45,16480079,1674604415,61846.69735357853529811486606935473,100731.1178259055788686841504326398,2023-01-24 23:53:36
46,16486393,1674680603,62946.89090875137952071345428882767,90779.3924312332802935621923590479,2023-01-25 21:02:56
47,16494174,1674774467,63998.55089607283211249286953318532,338.5176705161732133978486072879,2023-01-26 23:08:48
48,16511002,1674977483,0.0003878300206168002758898010112268785,393.6755867761959596319994725975,2023-01-29 07:32:16
49,17154204,1682801219,0.0004625749001796645921195842096955955,0,2023-04-29 20:48:00
50,17467273,1686613067,1078065.930203141753514163117280136,3868808.051442700316697426992693073,2023-06-12 23:38:40
51,17474414,1686699815,1077096.032131365084728309345889579,7163414.305282739434841057616522784,2023-06-13 23:42:56
52,17481557,1686786779,1031493.471692683293012850685544869,5603317.43194486635343691735833029,2023-06-14 23:53:36
53,17488576,1686872123,1058364.454590675600771465151548388,10797508.57316018868246974164179165,2023-06-15 23:34:24
54,17495740,1686959051,2307700.199446854370390714509511522,16869718.44239111568130698184210186,2023-06-16 23:45:04
55,17502687,1687043087,2281142.775958902570530395621292171,9609769.28041956239375823486700341,2023-06-17 23:04:32
56,17510045,1687132283,2403867.937434017059517248018146386,2674276.73213450710552634758103196,2023-06-18 23:51:28
57,17517118,1687218107,2486992.293738226157529096328696409,11695763.89683422655483183270189283,2023-06-19 23:40:48
58,17524282,1687305047,2441864.989811548259609911324788071,11947122.08506493146695373018765974,2023-06-20 23:51:28
59,17531389,1687391111,3530816.103152113398482424025433868,18472629.41061971731624553980876993,2023-06-21 23:45:04
60,17538423,1687476527,3440182.292405902471430199218007009,19339616.177788506399070357325655,2023-06-22 23:28:00
61,17545669,1687564571,4187166.376412253299259757101982348,9482373.7344992048310860500504339,2023-06-23 23:55:44
62,17552565,1687648367,4195516.474742190862325907181277999,6106305.7882791636474263903195526,2023-06-24 23:13:04
63,17559864,1687737083,4155831.337293943346906745985118748,4482412.6411589899484269220319362,2023-06-25 23:51:28
64,17566965,1687823435,4088388.947179211325445767906039728,12397992.1792757165120363475574621,2023-06-26 23:51:28
65,17573936,1687908287,4257205.588354395651687454797867617,10015384.129720609061907452571436,2023-06-27 23:23:44
66,17581204,1687996199,4541925.280870556211196987808372241,12938302.1457862349426988183154602,2023-06-28 23:49:20
67,17588356,1688082851,5090046.286063237401553864550422476,14196997.6167307774920640544230807,2023-06-29 23:53:36
68,17595489,1688169359,5394827.51105345856624860017137205,28938800.0540407091750783311698153,2023-06-30 23:55:44
69,17602562,1688255315,5327978.906607524102489923535774918,5641227.8319893869591037443279886,2023-07-01 23:49:20
70,17609734,1688342219,5362474.106938497206022386029488364,6569651.7105095300942738795559846,2023-07-02 23:57:52
71,17616861,1688428799,5971703.677798430337648575132359674,7262371.1114606450293081658018139,2023-07-04 00:00:00
72,17623847,1688513675,7869503.291698613398464917586489937,8653389.7507475596395780264437654,2023-07-04 23:34:24
73,17630993,1688600207,8591820.393989721081741352711468633,8598513.2195704582433561455248698,2023-07-05 23:36:32
74,17638208,1688687807,8353011.119676467297386208755371128,25648287.5438424504799962009181348,2023-07-06 23:55:44
75,17645301,1688773859,8634921.356745578241443728180719242,15332631.8090303728061954331006578,2023-07-07 23:51:28
76,17652443,1688860607,7850633.388626098588803725541969518,10758198.3123127048538481688976227,2023-07-08 23:55:44
77,17659548,1688946923,8220823.879689665045428796413637156,4607528.8406378538241032027418278,2023-07-09 23:55:44
78,17666662,1689033455,7855823.488129046449458416619904009,15105989.1171472812460409223213851,2023-07-10 23:57:52
79,17673764,1689119711,9476849.737642973413305021979369844,24237709.9651201377848697831774857,2023-07-11 23:55:44
80,17680638,1689203231,9650952.904199743943444228337039198,22907568.6627878130175608297924981,2023-07-12 23:06:40
81,17687987,1689292619,10494413.75368393463048951049901891,16860354.4753176046476164327256765,2023-07-13 23:57:52
82,17695104,1689379139,3363629.693602881138096745977685114,18714088.3746214109947504535445149,2023-07-15 00:00:00
83,17702115,1689464939,10113518.20546338558834638109620107,10952839.5365329028605172268567451,2023-07-15 23:49:20
84,17709240,1689551603,11319760.93791555821894477232147937,8181195.3069885987413038939613915,2023-07-16 23:53:36
85,17716403,1689638327,12632798.79908414585022390056802313,23326142.7294904481860664110432849,2023-07-17 23:57:52
86,17723460,1689723863,14632990.06046866099162642630824577,25840589.4660415633932585741557181,2023-07-18 23:45:04
87,17730587,1689810239,14675536.96266993244560290620640843,35284977.533506429310753211217238,2023-07-19 23:42:56
88,17737680,1689896039,15400737.58606224137906033578464794,50627254.4399409455088860085274295,2023-07-20 23:34:24
89,17744842,1689982691,15765848.4255731062435016737873002,20476458.8303826913060217895800901,2023-07-21 23:38:40
90,17752100,1690070387,17698711.72311740547234855961564252,20068724.3796490226945796825637431,2023-07-23 00:00:00
91,17759150,1690155599,18418580.86517579794531581348058833,9140367.2171443114001060069983727,2023-07-23 23:40:48
92,17766268,1690241627,18940209.58741370483189319878170943,11637118.0597404863429443005984144,2023-07-24 23:34:24
93,17773402,1690327955,18419131.38781365949594482486057457,8693036.7085952559071314625045047,2023-07-25 23:32:16
94,17780650,1690415507,19854658.74351023472677401226299111,27293976.1842073814249431245872342,2023-07-26 23:51:28
95,17787830,1690502315,21043393.52207365519551720164818611,18994045.4136123305132325233742285,2023-07-27 23:57:52
96,17794981,1690588799,21386861.44920090897308691748086432,15243975.6824685869383083617892379,2023-07-29 00:00:00
97,17801704,1690670051,19472238.01065658841078891767198154,7044942.9257709230376355701130612,2023-07-29 22:34:40
98,17809272,1690761575,10185960.45575967450738238158799117,73298844.3669880384996287161451057,2023-07-31 00:00:00
99,17816411,1690847735,10836401.8929387506761788332232069,61612664.6399048301133024117859929,2023-07-31 23:55:44
100,17823592,1690934375,11571522.60929561474388754210632913,54546966.0002438057136714589652978,2023-08-02 00:00:00
101,17830753,1691020775,10426454.44750421709825648719896106,41305521.5738047935202206090206595,2023-08-03 00:00:00
102,17837891,1691107091,10155957.28548680353141411934173862,11326978.2097208734173037713613057,2023-08-03 23:57:52
103,17844964,1691192543,11147101.85137761079238412525105062,9735697.6519243968177382298216449,2023-08-04 23:42:56
104,17852199,1691279903,11342840.92980614887812092827229411,4685205.9343013545438989377990477,2023-08-05 23:57:52
105,17859116,1691363603,11251616.19605812648195181432668171,25687004.5593392822917542274884217,2023-08-06 23:13:04
106,17866455,1691452415,17459163.28653645045539572300660975,37156339.6038565197595591986752784,2023-08-07 23:53:36
107,17873628,1691539175,24977514.96138743322669168986086766,62339065.682686870844540093829646,2023-08-09 00:00:00
108,17880675,1691624387,25364591.68735631712217581040612191,15948093.535900643077263192011468,2023-08-09 23:40:48
109,17887876,1691711447,26086530.33514432970328994422109352,28827238.012797613135133483987461,2023-08-10 23:51:28
110,17895060,1691798279,25908548.53770469302419513550050526,24826244.951211263375156867394066,2023-08-11 23:57:52
111,17902139,1691883875,24970831.33983667952532591974720334,2336622.225056647079056128463483,2023-08-12 23:45:04
112,17909239,1691969591,25184492.7478736541930405269082273,10520483.233764036023683657715726,2023-08-13 23:32:16
113,17916514,1692057467,24500890.79845231309344863623305505,7537213.927362040408372816505828,2023-08-14 23:57:52
114,17923623,1692143375,23230668.91336257493329578922246845,22499300.765254696459093006221703,2023-08-15 23:49:20
115,17930804,1692230123,23456300.33254926759182285671142687,24071316.650013268563765930946124,2023-08-16 23:55:44
116,17937908,1692316091,21994412.42090921173055134857472036,50224340.847666158538981909994572,2023-08-17 23:47:12
117,17945101,1692403115,28089124.33583644654470734876674805,44895378.347928389788268328847074,2023-08-18 23:57:52
118,17952144,1692488291,25229488.90500592310900460146398377,4189707.79749134767905826184842,2023-08-19 23:38:40
119,17959372,1692575747,36764989.98037795869805431152382823,23699403.467168627703055422999357,2023-08-20 23:55:44
120,17966429,1692661067,48121913.86531230988526253836433859,12950445.232560895665531040544019,2023-08-21 23:38:40
121,17973673,1692748583,46464183.99540212608547133905086195,31697301.619693651834967406380916,2023-08-22 23:55:44
122,17980842,1692835115,47514724.41644597746246371256761299,28081312.511495277740070826337012,2023-08-23 23:57:52
123,17987994,1692921599,44149068.20060937494577055250158586,13413526.414078470851270169736763,2023-08-25 00:00:00
124,17995093,1693007447,43755347.2730365667346481267232624,20377470.618647797922588884970351,2023-08-25 23:51:28
125,18002240,1693093871,44221621.11528388058141502725072264,11570013.785542859916140730578583,2023-08-26 23:51:28
126,18009424,1693180775,45314469.39489954494733724385665703,8970202.757106816816203949851089,2023-08-28 00:00:00
127,18016366,1693264715,45028005.87361231622177342202337196,9642344.199706264832778303450196,2023-08-28 23:19:28
128,18023567,1693351967,48235655.20005867034125687307996113,10167814.983126140186969274427166,2023-08-29 23:32:16
129,18030752,1693438907,44553554.26284478201463725817689092,31394084.984521230056791906441676,2023-08-30 23:40:48
130,18037948,1693525931,44291153.54787464803702479087415065,38986063.515706846240875520363995,2023-08-31 23:51:28
131,18045120,1693612691,43846777.55945265050886281423823034,31402600.622647258985792430432337,2023-09-01 23:57:52
132,18052124,1693697651,41877047.28855230455961348644100465,24056504.626931726014390058378714,2023-09-02 23:34:24
133,18059381,1693785395,41909099.93739572767121227032727655,11367714.271638981450886044988906,2023-09-03 23:55:44
134,18066543,1693871795,41630683.59575782648683815006993437,18972646.115304805491276762820083,2023-09-04 23:55:44
135,18073534,1693956395,42908875.29689666186304461067352351,55908951.253865555613374309849896,2023-09-05 23:25:52
136,18080677,1694042879,43718077.26599477630528323927687531,46175674.133750214292985216690387,2023-09-06 23:28:00
137,18087957,1694130839,49578580.19756916168822654975097226,28516163.181758517065301462584163,2023-09-07 23:53:36
138,18095052,1694216711,51952630.61297778369280102098785684,17590223.735838064963454144239172,2023-09-08 23:45:04
139,18102219,1694303459,51580187.19858219614150888628743277,9479460.239469131704575619947591,2023-09-09 23:51:28
140,18109346,1694389727,52192834.06875761109833869018407792,13538868.149156567774410648112906,2023-09-10 23:49:20
141,18116540,1694476763,50745392.35668196379607218556147961,92748478.904602523961674335790079,2023-09-12 00:00:00
142,18123652,1694562899,50819235.39607610711569556704767297,20453486.583566086851930319075209,2023-09-12 23:55:44
143,18130741,1694648783,50315134.27925824513254545607696985,15962710.087955812126995044060441,2023-09-13 23:47:12
144,18137919,1694735891,61203158.61841267505407774106670272,8008924.361442171462780226462321,2023-09-14 23:57:52
145,18145011,1694822303,59403382.80556947697085951330131286,35148541.274005865609785932948047,2023-09-15 23:57:52
146,18152038,1694908043,74613293.12305128238837567120363721,17606957.570136503347920377456009,2023-09-16 23:47:12
147,18159127,1694995019,48002872.10662455311737766995910665,18953117.927030599102879371333073,2023-09-17 23:57:52
148,18166155,1695080411,49584141.58960294334509667881958384,17034069.146096883324187255335826,2023-09-18 23:40:48
149,18173242,1695166187,49318603.94143960433525677825797498,16407267.424194598296975739983936,2023-09-19 23:30:08
150,18180541,1695254399,49346302.82390072790576072148398917,6354512.617818891299599386904891,2023-09-21 00:00:00
151,18187646,1695340379,49297856.43140533023195264661043063,22656778.155757559046245151537222,2023-09-21 23:53:36
152,18194793,1695427019,48157552.58684132136250628481718404,9942393.487576263054977125131855,2023-09-22 23:57:52
153,18201949,1695513587,49349215.19992758128598147283228995,8903704.49836681442248176748576,2023-09-24 00:00:00
154,18209071,1695599771,48231207.62339661475667051235627452,19448307.885695996806587970079209,2023-09-24 23:55:44
155,18216019,1695683759,48298882.57070007543741777265037441,15228935.485876462063951731157563,2023-09-25 23:15:12
156,18223310,1695771887,48401127.30685205968368848623740941,13292080.195354324308927472137593,2023-09-26 23:45:04
157,18230435,1695858059,50448546.79290862894972638631505729,16233411.104262199574102840101825,2023-09-27 23:40:48
158,18237546,1695944159,50122031.47695323911815411325207062,15635175.254531169900265200391083,2023-09-28 23:36:32
159,18244745,1696031291,32706969.89013571442167200857755392,12839084.503873569302635454616523,2023-09-29 23:47:12
160,18251827,1696116755,32468236.48744678925316527970049768,18990675.125398085555253102844007,2023-09-30 23:32:16
161,18259089,1696204391,30792181.29651519890456719884198318,15975731.630541496661682225008008,2023-10-01 23:53:36
162,18266290,1696291175,38852026.53065176040217305472321825,14908628.639739548472312522127945,2023-10-03 00:00:00
163,18273347,1696376531,36285363.56759921653019311992880889,24275396.171474625354982904265408,2023-10-03 23:42:56
164,18280579,1696463831,36060625.81551416589624118526794407,7295241.869955960060021521960498,2023-10-04 23:57:52
165,18287736,1696550315,26386629.13354072635417805926016196,16175799.191091702864283542860114,2023-10-05 23:57:52
166,18294887,1696636727,25916111.1858437192167865984841864,18939929.818650825220050709645521,2023-10-06 23:57:52
167,18301622,1696718051,25604435.61450858525562504503175762,3958166.725732001130397869678742,2023-10-07 22:34:40
168,18309187,1696809479,25949872.8362986363769856544773867,39366753.131879371647684890478101,2023-10-08 23:57:52
169,18316338,1696895987,24106835.67242523870893517482062351,13728972.489406292628541706612863,2023-10-10 00:00:00
170,18323473,1696982207,24639421.36878201160741140533696464,11920280.999315401464026945203911,2023-10-10 23:55:44
171,18330583,1697068307,26409753.98707958224843510877350763,10705635.081224935358520015157062,2023-10-11 23:51:28
172,18337709,1697154467,27184458.9048590206780403210283929,15773040.596163025416424580392216,2023-10-12 23:47:12
173,18344894,1697241455,28946155.94645867565114053699707333,10733830.174778280100290401499031,2023-10-13 23:57:52
174,18351995,1697327243,29291433.56493417171851058399344565,8051318.261023225393924815317344,2023-10-14 23:47:12
175,18359194,1697414171,29075534.59186815386196422646177771,25598856.892342592109245810000504,2023-10-15 23:55:44
176,18366197,1697498603,31800826.43742451006028264285563352,55811850.059875103123014609961587,2023-10-16 23:23:44
177,18373496,1697586803,31454710.40807636828797706629383012,31545168.02456725845773704938771,2023-10-17 23:53:36
178,18380656,1697673419,30484308.03853362644418312736886717,23629377.734445205948013562668412,2023-10-18 23:57:52
179,18387806,1697759855,29299922.45728277301655557042782752,12469090.074271809373991808134921,2023-10-19 23:57:52
180,18394952,1697846135,30109633.10736984967583783822946203,86533739.746198109713951871251992,2023-10-20 23:55:44
181,18402017,1697931551,30353531.45465451254498481326168514,19405564.210461535188271096781664,2023-10-21 23:38:40
182,18409223,1698018695,30079080.31505582180332929964428585,16356582.079385035898764684477034,2023-10-22 23:51:28
183,18416267,1698103931,32121826.00035129556639991816529484,32044060.930141907605459901324191,2023-10-23 23:32:16
184,18423517,1698191615,33374337.13996895721222150804053736,52511639.200398497576345483424703,2023-10-24 23:53:36
185,18430543,1698276791,32870890.94891111931936275411842727,34453103.476360481731258072504432,2023-10-25 23:32:16
186,18437756,1698363971,33007820.95358018587409876350700044,42065642.382622437473126780626537,2023-10-26 23:47:12
187,18444981,1698451187,32076155.24934347797544908031319391,26821826.051442059369544661979048,2023-10-28 00:00:00
188,18451976,1698535775,32616611.53383680529114750834137614,3941211.211717302232222829408527,2023-10-28 23:30:08
189,18459245,1698623723,33630876.48744964752653102268395293,9600156.248657845133164752052239,2023-10-29 23:55:44
190,18466385,1698710135,33801168.10300625150912628004322081,29704492.099420293591010130425468,2023-10-30 23:55:44
191,18473507,1698796379,33519984.1216870674804040466948572,71870296.051829406651864358760791,2023-10-31 23:53:36
192,18480580,1698881843,33634383.27685963456894662014437011,53660999.855106724101057270318543,2023-11-01 23:36:32
193,18487811,1698969443,32663304.00026343705328408361331918,99332874.980128626220907710691744,2023-11-02 23:57:52
194,18494882,1699055027,24938646.72228664281402370395921836,43950573.771378871675425676543373,2023-11-03 23:42:56
195,18501880,1699139759,24887721.70800428645885598178026658,16463116.578260482758229395879134,2023-11-04 23:15:12
196,18509128,1699227551,23495799.42468418944053513008194308,23169508.588431427641620090689097,2023-11-05 23:38:40
