timestamp,day,blockNumber,totalValueLockedUSD,dailyLDORewardAmount,dailyLDORewardUSD,dailyLDORewardROI,dailyCRVRewardAmount,dailyCRVRewardUSD,dailyCRVRewardROI
1636847665,18944,13610686,6009161691.057233497206173188741247,1.1833333333333333e+23,672093.6916666667,0.00011184483397523965,1.1838699172475385e+21,5000.190614746869,8.320945369448281e-07
1636933768,18945,13617016,6007162362.568468816907808012585608,1.1833333333333333e+23,606575.2466666667,0.0001009753374482315,1.1838699172475385e+21,4799.974534341965,7.990419177366218e-07
1637020325,18946,13623344,6019980656.942868479833593895962783,1.1833333333333333e+23,525238.83,8.724925542646717e-05,1.1838699172475385e+21,4740.187919651047,7.874091612211693e-07
1637106780,18947,13629586,5470553025.710131174975270311184051,1.1833333333333333e+23,461521.3,8.436465158658981e-05,1.1838699172475385e+21,4289.163077927667,7.840456088753278e-07
1637193019,18948,13635973,5438496992.594699158884403952402002,1.1833333333333333e+23,452587.37,8.321920019745588e-05,1.1838699172475385e+21,4728.846445843816,8.695134799711804e-07
1637279889,18949,13642386,5436340680.721395524235046154854629,1.1833333333333333e+23,444622.82666666666,8.178715293605657e-05,2.3020431734520613e+21,9485.387034798516,1.7448110028196057e-06
1637364922,18950,13648494,5201397152.686194698545763499044881,1.1833333333333333e+23,532480.0016666667,0.00010237249455017567,2.3020431734520613e+21,9206.379402176126,1.769982012894672e-06
1637452505,18951,13654896,5213924634.575374977776670591020742,1.1833333333333333e+23,602192.18,0.00011549690918174213,2.3020431734520613e+21,9077.066730993804,1.7409278743310883e-06
1637539138,18952,13661204,4949605172.294701708221803992631381,1.1833333333333333e+23,535726.4766666667,0.00010823620430683704,2.3020431734520613e+21,8916.53144824995,1.8014631749134307e-06
1637625334,18953,13667561,4874934813.840589098707222723329943,1.1833333333333333e+23,452513.29333333333,9.282448086251077e-05,2.3020431734520613e+21,9423.901763678785,1.933133903026369e-06
1637711542,18954,13673880,4844677864.039828942771943543358147,1.1833333333333333e+23,449352.255,9.27517303751748e-05,2.3020431734520613e+21,11365.276927016592,2.345930368534232e-06
1637797989,18955,13680192,4841661219.320117933542126114244862,1.1833333333333333e+23,446672.36,9.22560129192028e-05,2.3020431734520613e+21,14078.18416198003,2.907717728328984e-06
1637884323,18956,13686490,4839533536.391998402497343327495489,1.1833333333333333e+23,453814.36833333335,9.377233671815075e-05,2.2983769707017292e+21,13450.311184850852,2.7792577701359248e-06
1637968996,18957,13692595,4871780905.339961628572318439067742,1.1833333333333333e+23,428190.4683333333,8.789197967913407e-05,2.2983769707017292e+21,11849.650212768076,2.432303595545454e-06
1638056648,18958,13699045,4820140413.184675667984944953597165,1.1833333333333333e+23,435255.67833333334,9.029937740875045e-05,2.2983769707017292e+21,11011.397655898596,2.2844557859307976e-06
1638143025,18959,13705314,4604455919.649466026142631221268542,1.1833333333333333e+23,350901.525,7.620911810720819e-05,2.2983769707017292e+21,10046.96880009153,2.18200998672095e-06
1638229346,18960,13711509,4658045812.973610666014897593708354,1.1833333333333333e+23,523352.715,0.00011235456584440531,2.2983769707017292e+21,11080.222554286258,2.378727689501372e-06
1638316516,18961,13717826,4682957668.43915091077111003124495,1.1833333333333333e+23,514700.5366666667,0.00010990928663214214,2.2983769707017292e+21,11306.840225220478,2.414465606089729e-06
1638402792,18962,13724059,4680418369.407370855058200506412446,1.1833333333333333e+23,484177.99166666664,0.00010344758811122534,2.2983769707017292e+21,11339.585201922066,2.422771706914284e-06
1638488107,18963,13730233,4695857521.724515793520094878220466,1.1833333333333333e+23,409987.725,8.730838256980064e-05,2.242449177948068e+21,10739.779787540105,2.2870753079399236e-06
1638574175,18964,13736491,4703189551.570441203393512920826262,1.1833333333333333e+23,379944.43,8.078441785811775e-05,2.242449177948068e+21,9878.899063227485,2.1004679813359475e-06
1638661935,18965,13742771,4901989615.252683560610206907893645,1.1833333333333333e+23,384245.72833333333,7.838566755379112e-05,2.242449177948068e+21,8418.625128344416,1.7173894253365242e-06
1638748552,18966,13749005,4922722689.192846249823947808026801,1.1833333333333333e+23,431073.305,8.756806592952342e-05,2.242449177948068e+21,7859.165452734865,1.5965078573263064e-06
1638834914,18967,13755281,4864305667.498376035494716499426091,1.1833333333333333e+23,406071.24666666664,8.347979638284157e-05,2.242449177948068e+21,8151.641371667097,1.6758077984559178e-06
1638919295,18968,13761414,4862639049.659132211562782508472449,1.1833333333333333e+23,429139.0283333333,8.825228933317921e-05,2.242449177948068e+21,9112.526359519488,1.873987821522198e-06
1639007268,18969,13767742,4861237279.403808736870875138251163,1.1833333333333333e+23,429881.3333333333,8.843043625018336e-05,2.242449177948068e+21,9017.231239253408,1.8549251396260374e-06
