timestamp,day,blockNumber,totalValueLockedUSD,dailywstETHRewardAmount,dailywstETHRewardUSD,dailywstETHRewardROI,dailyCRVRewardAmount,dailyCRVRewardUSD,dailyCRVRewardROI
1684354271,19494,17281617,361324.085400000000317965195152,,,,,,
1684444067,19495,17289001,361324.085400000000317965195152,0.0,0.0,0.0,,,
1684531775,19496,17296200,361324.085400000000317965195152,0.0,0.0,0.0,,,
1684607663,19497,17302447,3161303.43873385386040483445058,0.0,0.0,0.0,,,
1684706555,19498,17310564,440910.20669599037917008238827,0.0,0.0,0.0,,,
1684791659,19499,17317567,440912.20495623084506239313476,0.0,0.0,0.0,,,
1684886099,19500,17325324,592748.61341172455569116880306,0.0,0.0,0.0,,,
1684964435,19501,17331773,592748.61341172455569116880306,0.0,0.0,0.0,,,
1685058131,19502,17339486,2883985.096415586748074031945767,1.0285556788357785e+21,850.583661171145,0.00029493344547040426,,,
1685141975,19503,17346389,2317825.568719991435254550871806,1.0285556788357785e+21,888.2205705711037,0.00038321286233011033,,,
1685218895,19504,17352730,2793805.540070600774902461372081,1.0285556788357785e+21,866.8986113488381,0.00031029311056736294,,,
1685317619,19505,17360882,2825604.081630897438244098364426,1.0285556788357785e+21,881.937123929096,0.000312123389707186,,,
1685392499,19506,17367047,3104268.657336759542945539863474,1.0285556788357785e+21,877.7138743117963,0.0002827441730075038,,,
1685471327,19507,17373521,3122712.197632701052350054745316,1.0285556788357785e+21,877.2757095926122,0.000280933897865345,,,
1685574815,19508,17382035,3056617.119998777922436304623762,1.0285556788357785e+21,877.2757095926122,0.0002870087011725443,,,
1685659535,19509,17388999,11336705.634912205135042359702934,4.2644251494533395e+21,3474.3934818404646,0.00030647293788248485,,,
1685749907,19510,17396413,14604162.98041303007896737788312,4.2644251494533395e+21,3548.4793399619175,0.000242977248659927,,,
1685821703,19511,17402319,14923913.415578570103909845779735,4.2644251494533395e+21,3618.7101577482645,0.00024247729512895825,,,
1685914583,19512,17409940,15526425.93044882856729054822168,4.2644251494533395e+21,3649.9641296686077,0.0002350807678482318,,,
1686008351,19513,17417615,15630177.582938306301428228653331,4.2644251494533395e+21,3573.4006405353225,0.00022862188363336313,,,
1686092795,19514,17424549,15049128.106287239741692738358293,4.2644251494533395e+21,3303.628841155755,0.00021952293965625568,,,
1686179723,19515,17431682,18562249.119915722082608361843792,4.2644251494533395e+21,3266.511284654913,0.00017597605029178403,,,
1686267803,19516,17438899,19424082.281233073428023879256651,4.149159711727819e+21,3156.3653725444333,0.00016249752893571773,,,
1686352355,19517,17445843,21027065.098230012895517533958528,4.149159711727819e+21,3129.0265592038586,0.00014880947695678412,,,
1686439079,19518,17452977,20098335.616088547270974166132973,4.149159711727819e+21,2666.1338542843678,0.00013265445981259016,,,
1686527603,19519,17460247,21860967.787409470070963240442216,4.149159711727819e+21,2812.9311248852982,0.00012867367777310245,,,
1686605363,19520,17466641,28291903.00270741476890981949468,4.149159711727819e+21,2645.948192286812,9.352316074438704e-05,,,
1686698975,19521,17474344,35718048.604162080037759084267878,4.149159711727819e+21,2697.509800024454,7.552231730011487e-05,,,
1686786995,19522,17481575,68157611.201037878660913527769762,4.149159711727819e+21,2417.4996077187902,3.546925376519031e-05,,,
1686869051,19523,17488321,65688083.18893620017552693901736,1.574445944316839e+21,981.2073080658088,1.4937371596665388e-05,,,
1686959147,19524,17495748,69955363.967861672746653723799779,1.574445944316839e+21,990.8696828260812,1.416431316519629e-05,,,
1687043003,19525,17502680,73563574.128448587740193511052112,1.574445944316839e+21,976.7043926650625,1.3277011132706102e-05,,,
1687123175,19526,17509290,73224644.919541571721696311265448,1.574445944316839e+21,994.8420099435925,1.3586163661656726e-05,,,
1687218851,19527,17517179,71520163.30230295332086344373625,1.574445944316839e+21,992.1591540544766,1.3872439718304293e-05,,,
1687302563,19528,17524077,71936144.055392983984678073965794,1.574445944316839e+21,1039.0697709653969,1.4444335105941766e-05,,,
1687390931,19529,17531374,75313642.829528992449761617222952,1.574445944316839e+21,1041.037828395793,1.3822699172209243e-05,,,
1687474163,19530,17538230,79283994.307351295309223865976975,1.5718445615215338e+21,1058.6263092728223,1.3352333198160594e-05,,,
1687558175,19531,17545147,78688825.462908046650033494442445,1.5718445615215338e+21,1051.521571854745,1.336303554753662e-05,,,
1687638371,19532,17551737,83116347.953230468269385813379988,1.5718445615215338e+21,1083.3639989820483,1.303430703658511e-05,,,
1687721099,19533,17558554,82373777.50285156134489555612027,1.5718445615215338e+21,1118.0310307864056,1.357265703576241e-05,,,
1687823315,19534,17566955,84955960.706977780216009885043604,1.5718445615215338e+21,1057.356258867113,1.2445933752830458e-05,,,
1687900307,19535,17573276,83984600.295798811669147705913845,1.5718445615215338e+21,1089.990895653423,1.2978461430005138e-05,,,
1687994399,19536,17581054,83978276.392096616658628181797862,1.5718445615215338e+21,1068.7301261142827,1.2726268887972356e-05,,,
1688079527,19537,17588082,82292272.038523141114211352850626,1.547321521777243e+21,1048.3799604725623,1.2739713395952764e-05,,,
1688167811,19538,17595361,80739162.496192332843136120278075,1.547321521777243e+21,1157.4754116869885,1.4335984866595255e-05,,,
1688253803,19539,17602438,78854840.263448856125505160246377,1.547321521777243e+21,1181.4480640238833,1.4982568731060044e-05,,,
1688338775,19540,17609451,78592372.320727056720671900125693,1.547321521777243e+21,1166.8893158254812,1.4847360899904266e-05,,,
1688402951,19541,17614725,79277723.747918133656386037506483,1.547321521777243e+21,1179.323591574483,1.4875850816862697e-05,,,
1688515115,19542,17623966,79989805.98544763154466859803895,1.547321521777243e+21,1253.6228764071827,1.567228299860174e-05,,,
1688549927,19543,17626838,80061449.10143603497119079420936,1.547321521777243e+21,1231.0149616524955,1.537587659814685e-05,,,
1688686811,19544,17638127,78687111.046202145705126714028554,1.5367648796909374e+21,1126.817480384583,1.4320229392116805e-05,,,
1688755031,19545,17643747,78687111.046202145705126714028554,1.5367648796909374e+21,1126.817480384583,1.4320229392116805e-05,,,
1688842655,19546,17650974,76794929.290486293853984166507976,1.5367648796909374e+21,1188.3833549947612,1.5474763320629603e-05,,,
1688931575,19547,17658277,76714637.645604317625253189275,1.5367648796909374e+21,1211.0567840297213,1.5786515079747806e-05,,,
1689030131,19548,17666389,76568353.392756222993151853583952,1.5367648796909374e+21,1258.4629070384274,1.643580998252843e-05,,,
1689118607,19549,17673673,77112220.463192078609306070732672,1.5367648796909374e+21,1210.5727030926187,1.5698843786640285e-05,,,
1689206171,19550,17680878,76858128.320746999247093365988064,1.5367648796909374e+21,1209.6045412184135,1.5738147254516138e-05,,,
1689289307,19551,17687713,88522994.11814586155242665877988,1.5153965288877106e+21,1293.0287576352569,1.4606699315993941e-05,,,
1689372371,19552,17694552,85176399.362410809126485013485052,1.5153965288877106e+21,1228.4940810560447,1.442293980788053e-05,,,
1689432359,19553,17699456,82854593.553428482090236480469872,1.5153965288877106e+21,1235.7634382051192,1.4914845215048234e-05,,,
1689485231,19554,17703774,82912492.09670586112846371575768,1.5153965288877106e+21,1240.220219396578,1.4958182874904232e-05,,,
1689635291,19555,17716152,75337296.21350888928422862491352,1.5153965288877106e+21,1218.584903153648,1.617505491171504e-05,,,
1689720191,19556,17723155,27647518.630444698507455584467648,1.5153965288877106e+21,1181.8622990691122,4.274749987030219e-05,,,
1689760727,19557,17726497,27647518.630444698507455584467648,1.5153965288877106e+21,1181.8622990691122,4.274749987030219e-05,,,
1689884951,19558,17736766,27627754.301306967211680773981025,1.5131685591359213e+21,1180.9508888090706,4.274509161800401e-05,,,
