timestamp,day,blockNumber,totalValueLockedUSD,dailyCRVRewardAmount,dailyCRVRewardUSD,dailyCRVRewardROI
1667172395,19295,15864151,7414957.197689296627560924726146,2.3048220197011403e+19,21.904521414395305,2.9540995086554715e-06
1667209895,19296,15867260,7416064.1569883700868828389688,2.3048220197011403e+19,20.792583079210686,2.8037221144611107e-06
1667334599,19297,15877573,7216582.455123739229281175144218,2.3048220197011403e+19,20.28531480089466,2.810930925689373e-06
1667388551,19298,15882044,7004472.5137914172195906874215,2.3048220197011403e+19,20.230621374367153,2.8882433808590417e-06
1667513903,19299,15892422,7004472.5137914172195906874215,2.3048220197011403e+19,20.230621374367153,2.8882433808590417e-06
1667563619,19300,15896544,7004472.5137914172195906874215,2.3048220197011403e+19,20.230621374367153,2.8882433808590417e-06
1667691539,19301,15907148,6898477.34894408908523958349476,2.2779669513768444e+19,22.89846549028275,3.319350681609136e-06
1667778071,19302,15914326,6827604.049077585941344824619392,2.2779669513768444e+19,22.550802174163614,3.3028866366687215e-06
1667857163,19303,15920888,6827604.049077585941344824619392,2.2779669513768444e+19,22.550802174163614,3.3028866366687215e-06
1667950595,19304,15928636,5562554.710738438919041399627095,2.2779669513768444e+19,20.744374381721777,3.729289051606995e-06
1668037151,19305,15935795,5562554.710738438919041399627095,2.2779669513768444e+19,20.744374381721777,3.729289051606995e-06
1668121739,19306,15942806,4355306.866499419090561817496008,2.26606234968563e+19,13.397345841940892,3.0760968750541837e-06
1668210503,19307,15950153,4654329.520642267100572751711188,2.26606234968563e+19,14.728022974923286,3.164370487651015e-06
1668296483,19308,15957286,4654329.520642267100572751711188,2.26606234968563e+19,14.237148548734385,3.058904292356539e-06
1668376043,19309,15963889,4568742.836265295484403762270635,2.26606234968563e+19,14.22860549367607,3.1143371390338963e-06
1668467975,19310,15971518,4649009.86783779384517820417601,2.26606234968563e+19,13.791550048292203,2.966556415313979e-06
1668552851,19311,15978540,4649009.86783779384517820417601,2.26606234968563e+19,13.791550048292203,2.966556415313979e-06
1668641159,19312,15985850,4632627.457911293212985425727835,2.26606234968563e+19,13.57806431432832,2.930964002110855e-06
1668720899,19313,15992456,4477456.103973572324932552878075,2.226462375440315e+19,13.076636940426095,2.9205505619186476e-06
1668809099,19314,15999766,4445535.830675355145351263537906,2.226462375440315e+19,12.117254302848862,2.7257128869003037e-06
1668872951,19315,16005059,4404186.314811223584965016003592,2.226462375440315e+19,12.117254302848862,2.7513037452795054e-06
1668985547,19316,16014395,4394627.381224925904077652054186,2.226462375440315e+19,12.10394005784373,2.7542585543327605e-06
1669068671,19317,16021286,4051451.954680751257639713040252,2.226462375440315e+19,10.766481844292977,2.6574378678868875e-06
1669137383,19318,16026974,4051451.954680751257639713040252,2.226462375440315e+19,10.766481844292977,2.6574378678868875e-06
1669244315,19319,16035813,4138753.716391944005157954154374,2.226462375440315e+19,13.762186970447921,3.325200752086653e-06
1669319615,19320,16042055,4015155.187096213741767435460626,2.2182913323826287e+19,15.492280470400392,3.858451230026929e-06
1669414691,19321,16049929,3974134.193462350341459351360634,2.2182913323826287e+19,15.264705962611258,3.841014223355231e-06
1669494575,19322,16056551,3970547.672073462470856332416476,2.2182913323826287e+19,15.156719540550872,3.817286881392831e-06
1669591943,19323,16064618,3970547.672073462470856332416476,2.2182913323826287e+19,15.156719540550872,3.817286881392831e-06
1669669847,19324,16071086,3884769.66977247535433851918988,2.2182913323826287e+19,14.006868228410337,3.605585251912939e-06
1669759799,19325,16078535,4023587.563919514181668221579408,2.2182913323826287e+19,14.872955713312486,3.696441416282794e-06
1669840031,19326,16085179,4023587.563919514181668221579408,2.2182913323826287e+19,14.872955713312486,3.696441416282794e-06
1669931471,19327,16092753,4023587.563919514181668221579408,2.2182913323826287e+19,14.872955713312486,3.696441416282794e-06
1670019767,19328,16100078,4248728.005302326133060996102586,2.131232827876171e+19,13.507029043917694,3.1790759556886665e-06
1670104439,19329,16107098,4218308.576620768747127303066243,2.131232827876171e+19,13.89195100496041,3.293251489934638e-06
1670191151,19330,16114278,4218308.576620768747127303066243,2.131232827876171e+19,13.89195100496041,3.293251489934638e-06
1670275355,19331,16121241,4241820.971776105329120031523382,2.131232827876171e+19,14.29639505870647,3.370343810790389e-06
1670368175,19332,16128945,4113663.514288667379724734905724,2.131232827876171e+19,14.29639505870647,3.4753438167823977e-06
1670447555,19333,16135435,4113663.788645445123735008529828,2.131232827876171e+19,14.29639505870647,3.4753435849977456e-06
1670527139,19334,16142033,4058943.978742534146116633775378,2.131232827876171e+19,14.29639505870647,3.5221957074498746e-06
1670621423,19335,16149839,4058943.978742534146116633775378,2.131232827876171e+19,14.29639505870647,3.5221957074498746e-06
1670716499,19336,16157722,4058943.978742534146116633775378,2.131232827876171e+19,14.29639505870647,3.5221957074498746e-06
1670792663,19337,16164033,4408554.254798172373593383152338,2.131232827876171e+19,14.29639505870647,3.242876061499434e-06
1670882231,19338,16171451,4408554.254798172373593383152338,2.131232827876171e+19,14.29639505870647,3.242876061499434e-06
1670963999,19339,16178219,4396764.755895751629691810421373,2.123880587170851e+19,13.020917193380079,2.961476885002762e-06
1671059303,19340,16186121,4396764.755895751629691810421373,2.123880587170851e+19,13.020917193380079,2.961476885002762e-06
1671102503,19341,16189694,4469997.249751161027082123827432,2.123880587170851e+19,13.020917193380079,2.912958658778803e-06
1671231335,19342,16200373,4469997.249751161027082123827432,2.0989297930393125e+19,13.198952089144273,2.9527875190256643e-06
1671317267,19343,16207496,4469997.249751161027082123827432,2.0989297930393125e+19,11.646940432277214,2.6055811181820265e-06
1671389855,19344,16213517,3886273.9000599860658638303544,2.0989297930393125e+19,11.568020672058935,2.976635453275792e-06
1671463751,19345,16219643,3886273.9000599860658638303544,2.0989297930393125e+19,11.568020672058935,2.976635453275792e-06
1671580127,19346,16229294,3886273.9000599860658638303544,2.0989297930393125e+19,11.568020672058935,2.976635453275792e-06
1671635363,19347,16233876,3886273.9000599860658638303544,2.0989297930393125e+19,11.568020672058935,2.976635453275792e-06
1671745115,19348,16242984,3966866.206822123553213183214996,2.088426203466246e+19,10.619918740032313,2.6771557663750863e-06
